,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2021-12-31,0.19310,0.23930,24.07490,25.15150,30.44420,24.07490,19.56480,0.14030,13.00640,13.00640,2.74530,10.49530,50.99120,-0.8552,-0.8552
2020-12-31,0.19050,0.23540,18.77910,19.87180,25.35330,18.77910,21.57400,0.13420,14.23760,14.23760,2.89420,11.52490,48.46390,1.0109,1.0109
2019-12-31,0.18490,0.22680,19.92650,20.94860,26.69570,19.92650,14.81150,0.14600,11.40920,11.40920,2.16280,9.29970,39.84490,-0.4554,-0.4554
2018-12-31,0.19760,0.24630,18.30590,19.32620,25.04830,18.30590,13.42040,0.15500,12.44570,12.44570,2.07970,9.98630,31.06370,0.083,0.083
2017-12-31,0.17700,0.21500,18.54430,19.65200,24.87650,18.54430,21.24890,0.15790,18.71700,18.71700,3.35530,15.40470,31.49920,0.4484,0.4484
2016-12-31,0.20740,0.26170,18.02830,19.21630,24.27410,18.02830,11.78690,0.17380,12.98210,12.98210,2.04820,10.28950,25.23600,-0.5893,-0.5893
2015-12-31,0.21920,0.28070,18.50330,19.88790,24.99520,18.50330,12.13590,0.17650,14.30430,14.30430,2.14200,11.16890,20.86340,0.6077,0.6077
2014-12-31,0.22350,0.28790,19.75980,21.15450,21.15450,19.75980,12.98400,0.18980,16.08440,16.08440,2.46400,12.48890,20.73370,-4.0687,-4.0687
2013-12-31,0.25090,0.33500,20.11780,21.34170,21.34170,20.11780,13.19190,0.19730,21.60060,21.60060,2.60330,16.18080,15.91160,-4.6482,-4.6482
2012-12-31,0.21410,0.27240,16.96110,17.99010,17.99010,16.96110,11.29950,0.19350,17.93720,17.93720,2.18620,14.09740,17.07830,4.3811,4.3811
2011-12-31,0.20240,0.25370,13.30570,14.18970,14.18970,13.30570,8.73660,0.19070,14.96220,14.96220,1.66640,11.93400,13.88130,4.1629,4.1629
2010-12-31,0.21560,0.27480,17.17640,17.89500,17.89500,17.17640,11.22900,0.20520,21.05640,21.05640,2.30410,16.51770,11.77020,0.8193,0.8193
2009-12-31,0.23590,0.30880,12.24390,12.63830,12.63830,12.24390,8.20090,0.21700,17.78540,17.78540,1.77990,13.58930,8.98160,6.5673,6.5673
