,current-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,3.42440,79.10440,-31.23550,-31.23550,-27.40900,-30.69260,-31.09990,0.53410,0.95980,3.90990,93.35340,-21.76700,-26.63200,-16.60910,-21.76700,15.02910,0.2841,0.1527
2021-12-31,5.04380,80.21020,-43.32250,-43.32250,-37.31630,-42.91900,-42.84070,0.42330,1.55270,4.04460,90.24460,-22.00460,-26.66030,-18.13290,-22.00460,16.71460,-7.4401,-7.2754
2020-12-31,7.88990,89.99240,27.43470,27.43470,30.49090,28.30110,28.20780,0.54380,1.87470,6.69420,54.52480,17.59320,20.94620,15.33830,17.59320,19.28170,5.6884,5.6638
2019-12-31,4.53680,95.20550,-24.05820,-24.05820,-20.93860,-17.30640,-17.30640,0.41560,0.51150,3.88440,93.96660,-8.45550,-12.18890,-7.19220,-8.45550,10.90900,0.3016,0.0087
2018-12-31,2.90390,86.51400,-39.71250,-39.71250,-36.12280,-37.62730,-34.01450,0.43550,1.65840,4.47560,81.55270,-17.48060,-22.28550,-14.81330,-17.48060,7.94910,-0.4605,-0.3945
2017-12-31,3.45280,88.77800,-40.60160,-40.60160,-35.46610,-32.94700,-26.03010,0.54930,0.90230,5.68870,64.16280,-18.52650,-18.52650,-14.29810,-18.52650,4.69250,-0.1415,-0.1444
2016-12-31,4.94660,89.87990,-34.13270,-34.13270,-28.68490,-33.50760,-33.50760,0.49870,0.62120,6.75210,54.05690,-22.09650,-22.09650,-16.71180,-22.09650,4.45930,0.3421,0.2481
2015-12-31,5.74280,88.88370,-35.91130,-35.91130,-30.75960,-35.77350,-35.77350,0.37630,0.65730,6.36320,57.36150,-17.56580,-17.56580,-13.46070,-17.56580,4.91080,-0.5449,-0.5094
2014-12-31,3.24070,89.86670,-26.97850,-26.97850,-22.67520,-26.55240,-26.55240,0.62480,0.66880,7.30630,49.95680,-36.11420,-36.11420,-16.58970,-36.11420,1.70060,-0.4771,-0.434
2013-12-31,4.40790,92.14750,-23.34550,-23.34550,-19.44670,-23.21890,-23.21890,0.55640,0.78100,9.12510,39.99950,-27.16080,-27.16080,-12.92010,-27.16080,1.87730,-0.1014,-0.1948
2012-12-31,4.38330,93.61090,-27.15880,-27.15880,-23.01620,-25.51180,-25.51180,0.44720,0.35680,6.13970,59.44940,-23.78180,-23.78180,-11.40850,-23.78180,1.88910,1.189,1.1996
2011-12-31,4.38430,96.71340,-152.34760,-152.34760,-134.78660,-160.40640,-160.40640,0.22290,0.32900,1.70480,214.10600,-69.46800,-69.46800,-35.75360,-69.46800,1.88630,-1.1641,-1.2285
2010-12-31,5.54740,100.00000,-63.45770,-63.45770,-56.95260,-61.65910,-61.65910,0.32570,,5.35720,68.13310,-41.02640,-41.02640,-20.08420,-41.02640,1.58960,0.7461,0.7615
2009-12-31,3.33570,100.00000,-163.29650,-163.29650,-150.05290,-157.18850,-157.18850,0.13380,,0.63780,572.25590,-39.61350,-39.61350,-21.03430,-39.61350,2.05060,-0.6787,-0.7292
