,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.22180,0.32240,16.64740,16.64740,17.74550,15.21570,12.30830,0.21680,10.51250,18.44020,2.66790,8.18110,121.90210,1.3902,1.3902
2021-12-31,0.20260,0.29430,25.16420,25.16420,26.67530,23.96310,20.84560,0.20480,14.29980,21.86910,4.26830,11.40310,139.98540,3.5765,3.5765
2020-12-31,0.20090,0.27510,12.99660,12.99660,14.82190,11.56300,9.81550,0.18870,5.94370,9.24140,1.85190,4.74940,131.87630,7.7598,7.7598
2019-12-31,0.19680,0.29410,17.03620,17.03620,19.08380,15.35420,13.02870,0.19320,8.04970,13.11080,2.51720,6.46540,122.42130,2.0801,2.0801
2018-12-31,0.19370,0.27850,16.37380,16.37380,19.21940,14.23420,12.10990,0.19500,7.87490,13.71030,2.36160,6.34950,109.56370,2.183,2.183
2017-12-31,0.18420,0.27310,14.38760,14.38760,17.34640,11.54360,11.97470,0.19300,7.54510,13.25980,2.31170,6.15510,110.32420,-1.801,-1.801
2016-12-31,0.20710,0.30060,19.21570,19.21570,26.57220,15.72980,13.13990,0.19690,8.56550,15.79450,2.58780,6.79150,103.60130,-0.3931,-0.3931
2015-12-31,0.24370,0.37040,19.11310,19.11310,20.84580,17.35930,14.92600,0.18560,9.72710,12.08430,2.77010,7.35650,89.76690,-1.5125,-1.5125
2014-12-31,0.10190,0.19970,19.64950,19.64950,20.63010,18.18890,14.88190,0.19510,9.64270,11.95580,2.90390,8.66020,90.02310,1.5763,1.5763
2013-12-31,0.11670,0.19800,23.43080,23.43080,24.82220,22.00300,19.51090,0.20380,13.03730,16.04540,3.97630,11.51630,84.83080,0.031,0.031
2012-12-31,0.10880,0.17290,17.98620,17.98620,19.21280,16.59230,15.08700,0.19380,9.82890,11.99680,2.92400,8.75980,80.89690,1.4733,1.4733
2011-12-31,0.12130,0.18950,13.61530,13.61530,14.51820,12.13020,9.14820,0.19280,6.32910,7.88410,1.76360,5.56120,72.21740,-0.2088,-0.2088
2010-12-31,0.12750,0.20280,24.12850,24.12850,25.03440,22.72900,19.27400,0.19200,13.42820,16.84870,3.70100,11.71580,68.59080,0.511,0.511
2009-12-31,0.13840,0.16880,21.90380,21.90380,22.25540,20.41130,16.90880,0.19330,12.96080,16.19850,3.26880,11.16760,58.44140,9.8803,9.8803
