,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.43100,1.19230,20.36970,14.45710,0.04030,7.13030,11.80270,0.63090,3.57560,50.39430,15.179,14.9614
2021-12-31,0.38160,1.01120,28.75880,21.97750,0.03640,9.82240,16.59260,0.84850,5.39410,53.75890,-2.3307,-2.3407
2020-12-31,0.36430,0.95050,28.87800,22.12380,0.03290,8.75780,14.25540,0.77210,5.01670,51.81090,5.5429,5.4568
2019-12-31,0.40320,1.16150,33.88730,25.91130,0.04320,11.74200,21.17870,1.17090,6.41030,46.17050,-5.8517,-6.0574
2018-12-31,0.44290,1.27770,31.65280,24.81250,0.04520,11.43640,21.09180,1.17230,5.81710,42.41760,1.4673,1.5406
2017-12-31,0.42720,1.28060,29.61390,24.87310,0.04190,10.81920,19.97860,1.10660,5.66870,41.01570,-1.3598,-1.8015
2016-12-31,0.39010,1.00420,30.98770,22.46200,0.04570,9.88660,19.16280,1.06400,5.48840,37.64150,2.1364,1.9677
2015-12-31,0.36270,1.07220,28.16950,20.02130,0.03820,8.89490,18.60810,0.81820,5.29540,35.72600,-0.2324,-0.5915
2014-12-31,0.35360,1.03840,22.63660,15.57180,0.04090,7.18190,16.08810,0.68800,4.45370,34.40620,4.4981,4.8445
2013-12-31,0.34910,0.97220,25.04140,13.27320,0.04030,5.95080,13.86860,0.58340,3.71550,33.51280,-1.9384,-1.9178
2012-12-31,0.34820,0.96210,22.85230,16.26280,0.04090,6.94830,17.48960,0.70060,4.39890,32.02780,-0.4255,-0.4593
2011-12-31,0.39340,1.06950,24.55700,16.83750,0.04530,7.53660,23.28890,0.78980,4.57170,28.17860,-1.5222,-1.8589
2010-12-31,0.36950,0.96470,26.64460,17.99630,0.05610,8.00540,28.38000,1.07050,5.04770,26.63250,0.1228,0.2098
2009-12-31,0.37910,0.94700,-30.15570,-18.66980,0.03450,-2.80320,-11.34520,-0.38310,-1.74040,24.01240,3.2072,2.9426
