,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.22480,0.46660,0.99290,73.90220,13.04990,13.04990,16.22720,14.77510,11.50910,1.41070,7.97410,45.77320,58.31440,90.33170,16.23640,31.10660,23.05890,-0.9734,-2.6264
2021-12-31,1.41920,0.58100,1.53580,73.94510,13.16720,13.16720,16.20260,17.05780,13.24950,1.40170,7.75750,47.05120,90.33570,159.31280,18.57220,37.85280,16.40680,5.0843,7.4683
2020-12-31,1.18810,0.97050,36.85200,75.68420,9.07970,9.07970,12.26780,2.17890,1.58690,1.35600,7.87240,46.36470,200.74740,-27.01130,2.15200,5.91630,0.77380,2.0667,3.1661
2019-12-31,1.10960,0.86920,7.68750,76.08850,10.52450,10.52450,13.70960,7.62810,5.99240,1.28060,7.75690,47.05480,135.24220,-164.62740,7.67410,17.68850,3.83260,-4.669,-4.7567
2018-12-31,1.15070,0.86780,7.48630,74.16120,9.77440,9.77440,12.84560,8.37590,6.66700,1.43680,7.26020,50.27440,157.75440,-168.16430,9.57890,20.85950,3.53800,12.92,11.687
2017-12-31,1.21980,0.95190,23.71970,75.99010,11.30740,11.30740,14.73460,10.71860,7.36650,1.46100,6.43580,56.71380,479.00390,-101.93270,10.76270,23.02600,1.19210,-5.6073,-8.3101
2016-12-31,1.18060,0.96650,37.47090,78.07500,12.47850,12.47850,16.08830,8.31200,5.55430,1.52590,7.39790,49.33810,797.66900,-67.28270,8.47510,26.68640,0.49420,-0.9033,-1.5497
2015-12-31,1.23490,0.81960,5.75430,79.56750,13.13850,13.13850,16.70920,12.57990,8.29980,1.52340,8.18100,44.61580,194.46010,-195.55910,12.64390,35.08370,2.81150,2.0039,1.869
2014-12-31,1.30120,0.82040,4.99490,76.44940,8.53140,8.53140,11.83370,7.96300,5.20680,1.64310,8.74220,41.75140,140.50050,-347.30810,8.55530,25.23720,2.38450,-1.5076,-1.9013
2013-12-31,1.87730,0.62520,1.67570,76.99590,12.68810,12.68810,16.05580,12.03870,7.88630,1.53090,8.52630,42.80870,67.38590,124.09880,12.07340,25.25420,7.02930,0.2577,0.3131
2012-12-31,1.85830,0.70090,2.71920,76.58840,2.48120,2.48120,5.91390,1.79950,1.49090,1.39280,8.85730,41.20890,17.05050,41.23660,2.07650,5.10050,4.96640,0.3097,0.1817
2011-12-31,1.88580,0.60950,1.56560,76.34120,11.44900,11.44900,14.80460,10.87660,7.16320,1.53040,8.50220,42.92990,53.51720,86.02440,10.96220,20.89770,7.38110,3.3137,2.3995
2010-12-31,1.96020,0.56590,1.34780,78.31670,11.38560,11.38560,15.00250,10.67720,6.73730,1.47470,8.80490,41.45430,41.48130,62.19490,9.93540,18.00630,8.13650,-1.4404,-0.9863
2009-12-31,1.48660,0.52970,1.23710,80.53070,7.74440,7.74440,11.60120,6.78410,4.34470,1.42070,7.64890,47.71910,25.57170,39.27360,6.17260,12.02640,7.74250,5.2639,3.7281
