,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.16840,0.40860,0.69080,39.37070,17.81670,17.81670,63.24620,16.64980,14.20800,0.65060,21.61930,21.61930,9.24360,12.78640,46.65440,3.6277,3.8762
2021-12-31,0.95060,0.48110,0.97120,41.63660,20.85840,20.85840,62.74290,19.66510,17.22760,0.66610,32.28060,32.28060,11.47530,16.75130,35.69950,-4.4813,-4.5371
2020-12-31,1.25060,0.58830,1.47390,38.88510,18.34410,18.34410,62.04140,12.79940,11.04730,0.63640,24.95560,24.95560,7.03000,10.27520,24.98390,11.7347,11.1986
2019-12-31,0.90120,0.66060,1.94660,38.28180,12.92020,12.92020,59.15770,10.23110,9.26210,0.59330,24.62250,24.62250,5.49490,8.35630,17.27900,-0.451,-0.6256
2018-12-31,1.49430,0.66420,1.97760,36.89170,10.16330,10.16330,58.37830,7.76520,7.66880,0.60810,23.12080,23.12080,4.66320,7.76500,11.99900,-1.9431,-1.9408
2017-12-31,1.40310,0.64470,1.81450,31.29910,7.17270,7.17270,60.79350,4.15060,4.78010,0.61500,15.60400,15.60400,2.93980,5.54420,8.26490,-0.6368,-0.7792
2016-12-31,1.24720,0.55660,1.25540,29.13940,4.30080,4.30080,60.07210,2.95000,2.11400,0.65000,6.96610,6.96610,1.37400,3.08860,6.23130,-1.6432,-1.6795
2015-12-31,1.53890,0.51610,1.06650,32.27420,4.51100,4.51100,56.83110,2.09290,1.80900,0.66450,5.51590,5.51590,1.20200,2.66910,5.19560,-1.7553,-1.8029
2014-12-31,1.47460,0.32290,0.47690,31.82570,7.31470,7.31470,57.85010,6.34680,4.84680,0.78160,14.36170,14.36170,3.78840,9.72460,4.39270,-0.1918,-0.226
2013-12-31,1.41990,0.27270,0.37490,28.74250,5.21990,5.21990,56.46340,3.91070,2.56950,0.80820,8.42880,8.42880,2.07670,6.13030,3.19610,0.1776,0.148
2012-12-31,1.33700,0.34940,0.53710,26.52120,1.38510,1.38510,48.54360,0.84450,0.47520,0.90960,2.30330,2.30330,0.43230,1.49840,1.91380,-0.7824,-0.7496
2011-12-31,1.49450,0.38360,0.62230,36.34410,11.73530,11.73530,37.93600,11.21900,7.05630,1.04410,35.17770,35.17770,7.36760,21.68430,1.65760,0.1077,0.0662
2010-12-31,1.63990,0.40800,0.68930,37.23580,13.11560,13.11560,28.77690,12.37830,7.43790,2.20210,55.43520,55.43520,16.37900,32.81620,0.78530,-0.0678,-0.0445
2009-12-31,1.80720,0.54300,1.19500,35.38340,11.49150,11.49150,26.91020,11.50670,6.93660,2.45720,58.17930,58.17930,17.04490,26.59080,0.53240,0.7949,0.6826
