,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.44490,0.85580,24.51730,28.46870,33.67940,24.51730,18.44460,0.25570,14.58340,-18.34120,4.80770,8.09580,16.26620,0.2481,0.3784
2021-12-31,0.32060,0.48200,24.99840,27.12850,32.00170,24.99840,18.81760,0.31150,13.98890,-36.20950,5.99360,9.50420,14.85630,0.3304,0.4496
2020-12-31,0.35050,0.55830,23.88080,26.13840,31.35380,23.88080,17.80440,0.29150,12.79890,-28.40920,5.35880,8.31300,13.26560,0.1156,0.0817
2019-12-31,0.30930,0.46420,21.98540,24.64660,30.11290,21.98540,16.12100,0.31380,11.89500,-30.36110,5.22790,8.21570,11.89500,0.4098,0.3548
2018-12-31,0.32690,0.50220,22.95960,24.97420,30.48470,22.95960,16.67910,0.30110,11.47300,-25.86390,5.14680,7.72300,10.73230,0.4676,0.4074
2017-12-31,0.24900,0.37800,23.90430,25.94090,31.78810,23.90430,20.72370,0.32730,15.47340,-51.60610,6.95310,11.62110,9.35050,0.1008,0.0749
2016-12-31,0.30140,0.45500,23.97220,26.20700,32.40340,23.97220,14.19570,0.33570,10.90970,-25.17890,4.89270,7.62130,8.42310,0.1288,0.1101
2015-12-31,0.33270,0.53250,24.24310,26.60670,33.13890,24.24310,14.31030,0.33180,11.31830,-20.59250,4.86200,7.55320,7.73380,0.0154,0.0271
2014-12-31,0.35290,0.56700,21.56050,23.36320,29.95560,21.56050,12.80050,0.31790,9.78810,-18.28500,4.17430,6.33370,7.36570,-0.0178,-0.0206
2013-12-31,0.15920,0.23910,26.23150,27.43750,33.70300,26.23150,15.52620,0.37360,10.81700,-35.13590,5.94910,9.09510,6.90120,0.5893,0.5876
2012-12-31,0.19940,0.24900,25.40020,26.74160,33.32030,25.40020,14.89390,0.38360,10.18320,-39.09870,5.88370,8.15320,6.28080,-0.071,-0.0707
2011-12-31,0.13200,0.15280,26.69070,28.08500,34.71000,26.69070,15.67730,0.38880,9.97560,-93.34450,6.29050,8.65870,5.73400,-0.2158,-0.2192
2010-12-31,0.14240,0.16710,27.33440,28.82090,35.40350,27.33440,16.09210,0.40550,10.73810,-94.93430,6.73740,9.20920,5.27450,0.2568,0.2613
2009-12-31,0.15440,0.19520,26.32090,27.82930,34.34840,26.32090,15.32810,0.43520,11.19040,-88.41250,6.89200,9.46210,4.82090,0.8057,0.7693
