,current-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,2.19960,26.32720,10.68680,10.68680,11.02270,10.75430,7.95140,3.05370,8.09970,45.06340,43.69970,43.81120,24.33810,43.69970,20.17680,7.8806,7.5643
2021-12-31,1.78060,27.02430,11.55520,11.55520,11.86580,11.64770,8.56650,2.17130,4.33660,84.16820,40.56170,40.65380,18.64470,40.56170,20.91980,1.2389,1.3054
2020-12-31,2.09370,30.54640,9.81220,9.81220,10.40650,9.98040,7.26330,1.94510,4.79690,76.09140,26.21680,26.29510,14.16970,26.21680,15.73140,-0.5971,-0.6054
2019-12-31,2.37090,33.19480,9.65310,9.65310,10.29460,10.01950,7.43340,2.15130,6.03940,60.43600,26.94390,27.04140,16.03560,26.94390,12.95360,1.2087,1.2057
2018-12-31,2.06120,32.19780,9.78780,9.78780,10.45150,10.05520,7.59610,2.45530,5.14590,70.93050,31.18100,31.30580,18.69900,31.18100,11.58470,0.5312,0.3227
2017-12-31,2.32500,33.50970,10.11800,10.11800,10.83050,10.38290,7.07050,2.22040,4.89200,74.61120,24.58830,24.68650,15.73250,24.58830,11.30760,-0.2082,0.0568
2016-12-31,2.38570,35.48740,10.98980,10.98980,11.75720,11.26360,7.06470,2.18500,5.12380,71.23560,23.41540,23.51640,15.49810,23.41540,10.27050,-0.0804,-0.1718
2015-12-31,2.29460,33.06480,10.90410,10.90410,11.59950,11.13390,6.91020,2.57900,5.94880,61.35670,27.11420,27.24160,17.91010,27.11420,9.30800,0.9711,0.9296
2014-12-31,2.32700,30.18300,9.05820,9.05820,9.80910,9.30560,5.74110,2.27080,5.31110,68.72420,20.27450,20.36080,13.12600,20.27450,9.76550,0.0375,0.1052
2013-12-31,2.77550,30.96670,9.07980,9.07980,9.87040,9.41730,5.73210,2.01680,5.66400,64.44260,16.77640,16.84040,11.60970,16.77640,10.30020,0.2234,0.1899
2012-12-31,2.79810,30.62920,8.85810,8.85810,9.52470,9.18510,5.56320,2.02840,5.80990,62.82360,16.38170,16.44580,11.27130,16.38170,9.84810,-0.3795,-0.2409
2011-12-31,2.87240,30.95850,10.03530,10.03530,10.63210,10.35500,6.25950,2.14930,6.59160,55.37330,19.21540,19.29150,13.47280,19.21540,9.48130,0.2986,0.1312
2010-12-31,2.48310,28.36640,9.17010,9.17010,9.78840,9.45220,5.76740,2.22740,5.94450,61.40150,19.68960,19.82160,12.84740,19.68960,8.24410,0.2996,0.2627
2009-12-31,2.52380,33.79010,9.40800,9.40800,10.42340,9.84470,5.87000,1.76110,5.04990,72.27870,15.39680,15.52470,10.34530,15.39680,7.36400,1.5277,1.3687
