,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.37320,0.72530,27.43240,21.93270,0.04020,11.94920,17.17430,0.92020,6.90270,72.17560,51.0436,51.326
2021-12-31,0.33000,0.55470,26.29350,21.32670,0.03830,10.60780,15.02290,0.85590,6.59430,74.76580,-28.6356,-29.3331
2020-12-31,0.34510,0.80940,24.95910,19.43180,0.03690,10.19850,14.49970,0.76900,6.04920,74.18820,-5.3369,-4.9514
2019-12-31,0.33860,0.59150,23.08870,17.10370,0.04780,10.44300,15.10270,0.91280,6.06930,68.35970,-11.7995,-12.1354
2018-12-31,0.30960,0.61720,25.59430,19.84150,0.04950,12.32010,17.37700,1.06010,7.23700,65.10650,8.7741,8.8317
2017-12-31,0.34240,0.69930,26.58910,17.50710,0.04720,11.27560,14.68470,0.90430,6.35290,60.70180,12.4714,12.3437
2016-12-31,0.35010,0.82070,20.79040,19.29980,0.04200,11.89040,15.69390,0.88300,6.56380,55.55600,9.1734,9.3253
2015-12-31,0.35230,0.83980,22.20720,17.85850,0.04220,10.74220,14.45680,0.80770,6.06770,52.88350,-2.0933,-2.8044
2014-12-31,0.32010,1.09570,23.74320,19.07640,0.03740,10.44040,15.00330,0.73760,6.44560,51.36860,3.1482,3.0123
2013-12-31,0.32250,1.05270,27.04400,20.45040,0.04050,10.30820,17.10900,0.84260,6.81580,46.94000,-8.4644,-8.5791
2012-12-31,0.26250,0.97450,28.65730,20.91790,0.04340,10.11290,16.68420,0.92600,7.28320,45.49970,-2.7838,-2.9209
2011-12-31,0.29540,1.14060,26.43320,19.61640,0.04420,10.15980,17.00020,0.88550,6.97450,39.79700,5.1485,5.074
2010-12-31,0.32460,1.74840,23.36470,17.24910,0.05560,8.74800,16.21340,0.96940,5.90800,35.45740,10.579,10.7385
2009-12-31,0.37880,3.04410,29.73740,-24.07260,0.05380,12.44220,22.17440,1.14150,7.72860,29.27870,-8.9261,-9.6118
