,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.39480,0.65240,40.80340,40.80340,74.40690,29.72110,28.29140,0.13530,7.11300,7.08970,3.99140,4.29060,30.07870,0.4882,2.1253
2021-12-31,0.42710,0.74560,68.01310,68.01310,103.51660,56.85970,53.96760,0.11640,12.52670,12.48490,6.59780,7.15210,29.79060,-0.0325,-2.7279
2020-12-31,0.42770,0.74740,51.24970,51.24970,85.53380,36.25620,35.40630,0.12680,8.97340,8.94230,4.74440,5.11760,28.91060,-0.4916,3.4241
2019-12-31,0.46150,0.85700,50.21530,50.21530,83.07360,34.78510,35.81630,0.12760,9.60960,9.57570,4.76890,5.15640,28.37060,0.2365,-0.9718
2018-12-31,0.45880,0.84790,43.24110,43.24110,75.93120,26.71980,25.38890,0.12640,6.61230,6.58860,3.35970,3.56540,28.15240,0.2271,0.7478
2017-12-31,0.46100,0.85520,40.64600,40.64600,72.14570,24.80620,24.29240,0.12010,6.02090,5.99950,3.05480,3.23390,28.46020,0.1293,-16.7175
2016-12-31,0.46210,0.85910,35.29090,35.29090,66.01900,17.17420,176.81060,0.11720,42.97500,42.82190,21.63620,23.03340,28.59200,-0.3859,16.7429
2015-12-31,0.50520,1.02100,36.76690,36.76690,65.45880,20.34200,31.44950,0.11880,8.51500,8.48530,3.92740,4.19850,29.32480,0.059,0.0786
2014-12-31,0.50320,1.01280,35.24790,35.24790,64.92520,17.15210,23.98560,0.11390,6.16550,6.13670,2.86310,3.04880,29.50980,1.0528,-11.7983
2013-12-31,0.49820,0.99270,21.45670,21.45670,59.14330,-5.07080,76.49480,0.10460,-1.55790,-1.55070,-0.73650,-0.77820,30.08550,-0.8191,10.6888
2012-12-31,0.53120,1.13310,29.41870,29.41870,70.18490,9.20320,47.27960,0.10160,2.14390,2.12960,0.93190,0.99830,23.15640,0.5568,0.8525
2011-12-31,0.62380,1.65810,26.65250,26.65250,71.48480,-5.01250,57.67820,0.09160,-1.28810,-1.24410,-0.43780,-0.46810,19.70660,0.1483,2.2139
2010-12-31,0.65640,1.90990,20.79230,20.79230,61.76310,-7.69020,16.07690,0.10350,-2.05860,-1.97960,-0.63710,-0.68030,17.94840,0.1148,-3.6061
2009-12-31,0.64480,1.81520,26.37680,26.37680,64.17200,-3.83270,21.20410,0.10640,-1.16210,-1.11520,-0.37430,-0.39610,18.48310,2.4517,3.3835
