,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.27550,,23.88190,13.43890,13.43890,16.76070,13.68360,10.41270,1.24640,184.26970,55.84400,6.53610,37.96840,38.32350,12.97870,37.96840,85.71410,2.184,0.4868
2021-12-31,1.58130,,22.61820,10.66560,10.66560,14.03990,10.76930,8.65220,1.13440,177.90930,38.97010,9.36620,28.42310,28.69710,9.81490,28.42310,81.81530,21.6063,19.3671
2020-12-31,1.72740,,17.39590,4.84850,4.84850,8.83430,4.90890,5.94470,1.00030,186.93720,15.45290,23.62020,17.61100,17.80440,5.94640,17.61100,72.14510,-2.1422,-3.9736
2019-12-31,1.60850,,20.45140,7.94720,7.94720,11.75600,8.20360,6.26810,1.09440,170.28970,51.60620,7.07280,20.80530,21.08010,6.85970,20.80530,60.63870,3.2754,2.2459
2018-12-31,1.81070,,18.72550,5.31080,5.31080,9.46250,5.51770,3.62910,2.14740,183.43740,78.07460,4.67500,12.24920,12.43860,7.79310,12.24920,52.03950,5.835,3.147
2017-12-31,1.94370,,16.89340,6.04940,6.04940,9.69840,6.15990,3.93740,2.18820,187.32100,89.87700,4.06110,12.91760,13.12870,8.61580,12.91760,48.68500,4.4634,5.5682
2016-12-31,1.85380,,12.76040,0.88530,0.88530,4.63420,0.99220,0.58750,1.92700,226.79070,85.69950,4.25910,1.63550,1.66150,1.13210,1.63550,48.67400,-9.7666,-10.2878
2015-12-31,2.91010,,26.08820,16.96400,16.96400,19.86030,17.10350,10.56610,1.65180,221.16170,46.67620,7.81980,22.35000,22.58280,17.45290,22.35000,69.17090,0.052,-0.1058
2014-12-31,3.49810,,27.20750,17.30170,17.30170,19.99080,17.38700,10.84090,1.62550,195.05040,80.04110,4.56020,22.13180,22.37580,17.62240,22.13180,64.85860,4.7405,3.1161
2013-12-31,3.34440,,26.59030,16.57200,16.57200,19.56000,16.62640,10.18600,1.59990,180.91240,116.16340,3.14210,21.28590,21.59380,16.29630,21.28590,49.56940,3.6907,3.4989
2012-12-31,2.92530,,27.10650,16.69090,16.69090,19.77120,16.75750,10.17860,1.63680,179.42360,103.40850,3.52970,22.31270,22.71270,16.66000,22.31270,40.07100,0.2758,-1.1669
2011-12-31,3.18310,0.00010,25.96230,15.44630,15.44630,18.74820,15.40860,9.47080,1.59230,188.52470,270.53860,1.34920,20.58410,21.02590,15.08060,20.58410,33.41310,3.825,2.6357
2010-12-31,3.30120,0.00010,26.65720,15.67770,15.67770,19.43180,15.74470,9.74880,1.63690,189.70370,62.90420,5.80250,22.07260,22.68640,15.95760,22.07260,26.09490,0.9926,1.0759
2009-12-31,2.91180,0.00010,24.92850,13.41560,13.41560,17.45320,13.44990,8.35380,1.57920,203.04560,318.79430,1.14490,18.03160,18.61200,13.19230,18.03160,22.34420,8.1201,4.4693
