,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.52430,1.10240,47.74070,35.83560,0.07940,24.84550,28.77590,2.88440,11.14400,29.37590,1.378,1.378
2021-12-31,0.51510,1.06240,58.13440,44.14750,0.09890,32.66780,37.08490,4.40840,14.98830,25.91920,-0.203,-0.203
2020-12-31,0.55400,1.24200,30.70750,22.94940,0.06100,11.57350,13.19300,1.44350,4.86370,21.74790,-0.6755,-0.6755
2019-12-31,0.56830,1.31670,53.51510,41.03150,0.08710,26.10420,29.39980,3.57450,10.71980,24.49650,0.8405,0.8405
2018-12-31,0.62050,1.63480,47.08620,36.05120,0.07250,19.00800,22.28970,2.61260,7.21410,20.42130,1.7849,1.7849
2017-12-31,0.59370,1.46120,47.00890,27.36530,0.07380,13.59420,15.48740,2.01970,5.52340,18.47300,2.8924,2.8924
2016-12-31,0.58660,1.41920,51.10220,32.22160,0.07740,15.85660,17.95770,2.49540,6.55450,17.36830,0.4288,0.4288
2015-12-31,0.65830,1.92630,51.96470,32.58280,0.08090,17.56590,20.21180,2.63600,6.00280,15.11580,0.353,0.353
2014-12-31,0.72380,2.62070,53.63540,33.40730,0.08340,20.12790,23.40730,2.78570,5.55910,12.56710,-1.0033,-1.0033
2013-12-31,0.80320,4.08070,55.84790,35.17600,0.09520,33.20470,42.00810,3.34940,6.53550,,0.0596,0.0596
2012-12-31,0.85860,6.07050,61.39300,38.53430,0.10290,46.24620,62.48900,3.96360,6.54070,,7.9923,7.9923
2011-12-31,,,59.96020,37.64940,,,,,,,0.0,0.0
