,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.31460,0.45900,-2.86310,-2.86310,-1.21570,-3.61390,-2.75420,0.52480,-8.86870,-9.84980,-1.39240,-5.38830,65.96960,1.778,2.1535
2021-12-31,0.24090,0.31740,13.73450,13.73450,15.87330,12.74610,2.93550,0.50870,22.27840,23.85670,5.18810,15.58470,89.41990,-0.2994,-0.4767
2020-12-31,0.20570,0.25900,17.59290,17.59290,19.22020,16.23040,13.03060,0.33260,19.21970,19.49510,4.30920,14.27110,99.39800,2.0248,2.3469
2019-12-31,0.20320,0.25510,13.98380,13.98380,15.52680,13.10270,11.26120,0.34630,18.21900,18.44970,3.60730,13.26120,81.49840,0.7275,0.2135
2018-12-31,0.23240,0.30270,7.58760,7.58760,8.87100,6.60050,5.05340,0.35470,11.14440,11.50040,1.92430,7.78010,64.19280,2.9226,2.9512
2017-12-31,0.21970,0.28160,12.58660,12.58660,14.12950,11.54360,8.72430,0.35050,17.08240,17.44720,3.16130,12.29720,63.52390,1.1461,1.1628
2016-12-31,0.23580,0.30850,8.21950,8.21950,9.24090,7.36380,4.70870,0.34430,9.96970,9.69830,1.72820,6.97250,56.21040,1.6942,1.6094
2015-12-31,0.20370,0.25590,10.12540,10.12540,11.16600,9.20540,5.76390,0.34070,11.87700,11.54420,2.07440,8.63250,52.55910,1.5041,1.4166
2014-12-31,0.18730,0.23050,13.19840,13.19840,14.23710,12.02080,7.79250,0.32480,13.86320,13.51670,2.62720,10.38480,53.35890,-1.635,-1.8521
2013-12-31,0.22400,0.28870,14.52460,14.52460,15.59100,9.84150,6.55810,0.27940,11.01450,11.26650,1.84590,8.23670,47.83970,2.8251,2.963
2012-12-31,0.22740,0.29430,11.09110,11.09110,12.25570,9.92350,6.92180,0.26240,11.20510,11.92350,1.81650,8.65710,42.96450,2.5071,2.3992
2011-12-31,0.24380,0.32240,4.21690,4.21690,4.98870,2.93690,2.41010,0.26080,4.29440,4.60670,0.62860,3.24750,36.57880,-3.1124,-3.284
2010-12-31,0.23680,0.31020,4.70700,4.70700,5.00640,3.50320,2.90130,0.23990,4.78370,5.01380,0.69610,3.65100,35.72980,-1.1516,-1.1007
2009-12-31,0.26110,0.35340,5.50710,5.50710,5.22290,3.89840,2.66770,0.24130,5.10740,5.38940,0.64380,3.77360,31.13780,7.9516,7.6021
