,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.36770,1.28160,36.20110,27.65100,0.03700,13.34370,19.46690,1.09700,8.43750,114.24440,5.1118,5.1118
2021-12-31,0.35580,0.55240,34.95750,27.05850,0.03590,10.27350,13.31640,1.02750,6.61770,132.68100,6.0233,6.0233
2020-12-31,0.38400,0.68830,24.98180,19.78730,0.02940,5.55690,6.89300,0.64350,3.42280,127.45520,-5.5243,-5.5243
2019-12-31,0.47090,1.22130,34.18400,26.66500,0.03920,9.30430,11.93520,1.11900,4.92250,113.69360,-0.2456,-0.2456
2018-12-31,0.39290,1.09720,34.76110,32.06820,0.04130,9.54160,12.46410,1.19220,5.79290,104.52950,5.2015,5.2015
2017-12-31,0.41140,1.14110,34.55440,31.80390,0.04170,11.32290,14.72940,1.41500,6.66440,100.60250,4.4794,4.4794
2016-12-31,0.39800,1.03580,35.66430,24.86250,0.04020,8.50510,11.07160,1.08770,5.11980,96.60620,-3.6046,-3.6046
2015-12-31,0.39370,1.08660,36.78690,25.81160,0.04180,9.01040,11.74050,1.15570,5.46320,91.23020,0.2042,0.2042
2014-12-31,0.38020,1.23210,37.17390,26.06280,0.04380,9.98620,11.97650,1.21920,5.65970,88.09560,-0.0413,-0.0413
2013-12-31,0.35190,1.04700,37.00960,25.59700,0.04800,10.50480,12.86230,1.31550,6.19920,82.62100,-2.4298,-2.4298
2012-12-31,0.32040,0.97950,27.80720,19.31840,0.04760,7.84280,9.69060,0.98130,4.87190,79.10040,1.4019,1.4019
2011-12-31,0.37640,0.98540,30.88660,22.75700,0.04860,8.62420,11.33130,1.13240,5.14160,70.67550,2.2158,2.2158
2010-12-31,0.47150,1.20250,32.04200,23.75730,0.04800,9.39390,13.69260,1.14420,4.86650,62.42970,-3.3924,-3.3924
2009-12-31,0.42930,1.20550,26.22380,16.28720,0.04560,9.58810,11.99510,0.87380,4.13180,70.49130,12.6462,12.6462
