,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.63400,1.73240,34.05170,34.05170,58.24930,32.83120,27.30980,0.12840,12.20240,12.20240,4.21600,4.46580,53.35500,0.9142,-1.6665
2021-12-31,0.62060,1.63580,33.51220,33.51220,58.46710,21.87660,17.17850,0.12920,7.86650,7.86650,2.82550,2.98440,51.31580,-0.1919,-3.1519
2020-12-31,0.61430,1.59290,32.73410,32.73410,57.53750,36.83320,31.17590,0.12100,12.51520,12.21510,4.45660,4.71100,53.55550,-0.1875,3.255
2019-12-31,0.60030,1.50180,34.50690,34.50690,57.48150,22.02280,17.26140,0.13910,8.34370,8.13550,3.06320,3.25190,51.77490,0.19,-2.3709
2018-12-31,0.57270,1.34010,33.62750,33.62750,57.39020,26.22540,21.06480,0.13410,8.89150,8.67500,3.51770,3.70710,53.17930,1.5292,4.0188
2017-12-31,0.55900,1.26770,34.89940,34.89940,58.63230,21.61660,17.36840,0.13430,7.11780,6.94210,2.90350,3.06130,52.50260,-0.8118,-2.0009
2016-12-31,0.54800,1.23500,32.37330,32.37330,59.59600,22.34490,19.69110,0.13530,7.37170,7.18590,3.02350,3.24810,51.57630,1.5226,-3.7192
2015-12-31,0.53320,1.16500,34.09980,34.09980,59.77580,32.11460,22.98870,0.13570,10.40620,10.14230,4.35890,4.73450,51.35390,0.6592,1.6373
2014-12-31,0.55630,1.27640,33.45110,33.45110,59.67440,21.94650,18.06890,0.12050,6.82930,6.65650,2.64530,2.95370,51.61470,-0.5635,3.8333
2013-12-31,0.61690,1.63570,31.75400,31.75400,58.22970,32.94940,34.73380,0.10580,10.28180,9.98990,3.48750,3.82730,46.04180,0.8344,3.7091
2012-12-31,0.61270,1.58170,34.66470,34.66470,59.24500,15.45360,15.68060,0.11950,5.06590,5.06590,1.84610,1.96230,37.16900,0.1194,-5.0492
2011-12-31,0.61650,1.60790,35.12700,35.12700,60.61960,17.58480,15.82770,0.11650,5.59620,5.59620,2.04930,2.14590,36.55110,1.4628,4.2635
2010-12-31,0.61070,1.56840,39.46530,39.46530,61.39030,12.06180,10.30720,0.11560,3.74990,3.74990,1.39460,1.46000,35.40820,-2.0105,-4.7159
2009-12-31,0.57000,1.32560,16.08410,16.08410,37.27260,17.30610,15.21640,0.12290,5.18320,5.18320,2.12770,2.22870,36.49960,4.6944,1.3271
