,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.73350,3.11640,21.96130,21.96130,53.72840,16.06460,16.48570,0.15940,13.67370,-9.15580,2.52510,3.64380,26.64950,-2.6456,-3.6574
2021-12-31,0.81010,4.76910,33.47260,33.47260,58.82820,30.23870,27.44180,0.13390,28.31000,-10.26720,3.67390,5.37660,19.89940,1.9324,1.208
2020-12-31,0.86180,6.41090,35.90750,35.90750,59.72390,22.64630,21.02340,0.17020,37.02610,-10.21800,3.58110,5.11550,10.28160,0.2777,0.1901
2019-12-31,0.79370,4.38140,35.46560,35.46560,59.26810,25.28130,24.90400,0.17710,34.90820,-14.73590,4.47790,7.20050,12.39680,-0.0389,-0.2025
2018-12-31,0.75730,3.58670,25.60450,25.60450,54.27210,15.51860,16.49170,0.22540,21.43710,-11.73560,3.83120,5.20350,13.37600,1.6848,1.4848
2017-12-31,0.74000,2.95910,29.98840,29.98840,56.03780,18.84930,17.27970,0.20060,17.94640,-11.56740,3.68940,4.66670,15.92300,0.4836,0.2119
2016-12-31,0.72390,2.65670,32.02720,32.02720,58.70160,19.46010,14.67930,0.18740,13.91040,-10.35750,3.14260,3.84000,16.33380,1.171,1.3041
2015-12-31,0.71770,2.55020,33.80070,33.80070,60.88230,17.39500,12.46780,0.17740,10.01070,-9.31150,2.49770,2.82570,15.83640,-0.2128,0.4998
2014-12-31,0.77090,3.58720,36.26600,36.26600,60.62990,21.11450,19.53690,0.19280,19.81600,-11.80640,3.77730,4.53880,10.21770,1.3291,0.7088
2013-12-31,0.80050,4.03290,36.12490,36.12490,60.15480,16.11670,16.40190,0.16570,13.43180,-7.05510,2.37730,2.67920,9.09180,0.4639,0.0714
2012-12-31,0.70230,2.37590,38.93370,38.93370,61.72150,24.38470,22.15900,0.20410,16.12370,-25.12210,4.21610,4.79920,9.32490,0.6289,0.5131
2011-12-31,0.67660,2.12200,37.65580,37.65580,60.92580,20.74440,16.22500,0.19960,11.19720,-21.68070,3.11900,3.62120,8.66310,0.3867,-0.0623
2010-12-31,0.61130,1.59430,39.50860,39.50860,63.18890,28.00660,18.78450,0.19140,10.65970,-41.82380,3.60240,4.14300,8.79050,0.4573,0.2144
2009-12-31,0.55520,1.26930,38.99150,38.99150,63.61040,24.44660,14.30270,0.20240,7.20130,-45.33790,2.80460,3.20340,8.26230,2.0694,1.4544
