,current-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,2.67690,100.00000,45.50690,45.50690,54.85590,47.09560,34.83560,0.44680,1.29470,281.91080,23.14550,30.21160,15.56340,23.14550,28.71580,0.279,0.2296
2021-12-31,2.72580,100.00000,48.24870,48.24870,56.86820,47.77490,36.89640,0.45670,1.48010,246.60220,24.76580,33.48570,16.85050,24.76580,27.46140,-3.1998,-3.3322
2020-12-31,3.28040,100.00000,54.37740,54.37740,60.59370,54.32380,43.44310,0.51760,1.91690,190.40750,31.34640,42.02850,22.48540,31.34640,25.12990,3.5979,3.3159
2019-12-31,6.83830,100.00000,49.06250,49.06250,55.44790,50.34180,40.07060,0.53550,8.24540,44.26740,26.60750,36.44360,21.45730,26.60750,20.29970,1.0913,1.4343
2018-12-31,6.46160,100.00000,48.80650,48.80650,54.10540,50.06970,39.68460,0.62620,7.57040,48.21390,28.43530,31.70420,24.85150,28.43530,16.14980,1.4975,0.9122
2017-12-31,7.19020,100.00000,50.73810,50.73810,55.63720,51.28540,37.64130,0.67690,7.47440,48.83340,28.76810,32.78420,25.47850,28.76810,13.68300,2.0394,1.8578
2016-12-31,7.07880,100.00000,51.66430,51.66430,56.51510,52.10400,34.31100,0.69640,7.25760,50.29180,26.95910,31.18670,23.89430,26.95910,12.46570,-0.9299,-1.0114
2015-12-31,6.92710,100.00000,48.79610,48.79610,54.91360,48.79610,31.68510,0.69040,7.49150,48.72200,24.57990,29.40770,21.87430,24.57990,10.44440,0.4061,0.3876
2014-12-31,6.00550,100.00000,45.10950,45.10950,51.72320,45.10950,28.46780,0.69170,7.76610,46.99910,22.38310,27.93470,19.69180,22.38310,8.95540,0.5034,0.7276
2013-12-31,5.63130,100.00000,44.93720,44.93720,50.40400,44.93720,31.84140,0.67460,6.98910,52.22430,22.09130,28.37110,19.37300,22.09130,8.22610,0.2413,-0.0993
2012-12-31,5.90600,100.00000,46.82980,46.82980,51.14390,46.82980,31.47610,0.68200,6.14740,59.37470,25.45520,29.47950,22.07830,25.45520,6.48850,0.5041,0.4127
2011-12-31,7.89770,100.00000,47.38940,47.38940,51.33470,47.38940,27.75520,0.49180,4.75180,76.81240,15.82610,17.79340,14.14960,15.82610,8.05880,0.0106,0.0101
2010-12-31,6.65570,100.00000,34.81550,34.81550,39.15800,34.81550,19.44020,0.48820,5.69380,64.10490,13.40350,13.73730,10.49280,11.86900,7.85100,0.5049,0.5014
2009-12-31,6.64480,100.00000,26.25770,26.25770,32.19100,26.25770,14.07040,0.41270,4.94340,73.83630,7.43730,7.82160,5.80700,6.52390,7.17970,1.1377,0.9592
