,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.30940,0.44810,24.19440,24.19440,60.56940,5.10390,19.82520,0.07290,0.58560,0.58560,0.37380,0.40440,132.79000,1.1558,18.7811
2021-12-31,0.31610,0.46220,24.50500,24.50500,61.19500,24.38130,26.64900,0.07000,2.77400,2.77400,1.74630,1.89720,120.36920,-0.1262,-24.0186
2020-12-31,0.36020,0.56310,27.78730,27.78730,62.14170,35.26310,40.34660,0.08260,5.01090,5.01090,2.94850,3.20580,98.26930,0.8995,7.6585
2019-12-31,0.40030,0.66750,28.23550,28.23550,62.20200,26.35500,22.92140,0.08330,3.97910,3.97910,2.19700,2.38630,84.05780,0.5573,-13.2277
2018-12-31,0.41000,0.69490,28.49600,28.49600,63.41900,29.68750,27.41950,0.09180,5.15110,5.10900,2.78460,3.01440,71.01870,0.6226,-1.3162
2017-12-31,0.42400,0.73630,27.54160,27.54160,63.56380,17.18140,12.88850,0.09320,3.03400,2.99910,1.60360,1.72730,64.85670,-0.273,1.7484
2016-12-31,0.43670,0.77530,28.86210,28.86210,63.47610,-5.81570,-16.39800,0.08900,-0.96800,-0.92890,-0.48180,-0.52320,61.26630,0.3807,-8.9653
2015-12-31,0.47910,0.91960,30.98280,30.98280,62.49560,15.65910,13.85540,0.09500,3.73560,3.41510,1.64570,1.77910,58.99110,0.0922,-1.8163
2014-12-31,0.48570,0.94440,31.65420,31.65420,63.60970,13.63950,9.92090,0.08930,2.81010,2.54520,1.21860,1.30900,54.50640,0.1012,0.709
2013-12-31,0.43570,0.77210,32.39620,32.39620,63.75590,21.31420,17.23060,0.08380,3.75300,3.39320,1.78660,1.91480,55.70300,-0.3189,0.3575
2012-12-31,0.47700,0.91210,29.29640,29.29640,63.96120,16.50980,11.77200,0.08030,3.05130,2.71890,1.32650,1.42190,55.15840,0.7351,3.9085
2011-12-31,0.44850,0.81340,34.86120,34.86120,65.00630,21.84690,18.99720,0.08170,3.86110,3.43210,1.78380,1.89260,55.50450,-0.5095,-3.3224
2010-12-31,0.46520,0.87000,39.45980,39.45980,69.12910,14.56360,22.99960,0.07800,2.58930,2.25840,1.13590,1.20770,54.03980,-0.6718,1.0507
2009-12-31,0.53740,1.16170,42.75190,42.75190,69.29230,28.03760,21.79910,0.08820,6.80180,5.70980,2.47410,2.64140,53.93050,5.3615,-5.6505
