,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.40910,0.69250,12.44060,12.44060,35.25240,2.95300,2.40950,0.15470,0.76430,0.76680,0.42370,0.45160,42.83220,-0.1313,1.6607
2021-12-31,0.43180,0.75990,15.90540,15.90540,38.11440,3.60070,7.08840,0.13580,2.01370,2.02110,1.07270,1.14420,41.58090,-0.282,-16.0517
2020-12-31,0.44980,0.81740,14.68840,14.68840,37.48010,-0.68500,21.25170,0.14180,6.15380,6.17880,3.19810,3.38610,40.44450,-0.5339,11.3908
2019-12-31,0.47470,0.90360,23.55530,23.55530,43.92560,10.60070,24.06480,0.15340,3.52810,3.54280,1.74460,1.85340,40.23490,-0.4173,1.2422
2018-12-31,0.45900,0.84860,22.92830,22.92830,43.56580,9.00950,16.13130,0.15490,5.58070,5.34690,2.73470,2.87980,40.62450,0.3344,-8.6078
2017-12-31,0.44010,0.78600,21.96720,21.96720,43.71090,6.94100,10.73970,0.15450,3.80530,3.63870,1.93460,2.02800,40.15110,-0.6635,2.9213
2016-12-31,0.44710,0.80870,29.95850,29.95850,51.22340,16.56680,23.64770,0.14830,5.02990,4.71980,2.48750,2.59780,42.14390,0.5933,7.9093
2015-12-31,0.46080,0.85450,28.67370,28.67370,50.31330,16.48050,21.20160,0.13300,4.29200,4.02550,2.09540,2.16090,42.77570,0.2568,-2.9212
2014-12-31,0.44440,0.79990,26.11940,26.11940,51.59660,11.49120,13.36140,0.13390,2.87210,2.67110,1.43430,1.47650,40.97770,0.154,7.4099
2013-12-31,0.47540,0.90610,19.58500,19.58500,50.22150,3.54940,2.73250,0.12480,0.80610,0.74060,0.37500,0.38630,40.60010,-0.0748,-0.5243
2012-12-31,0.44780,0.81100,30.18640,30.18640,60.59750,10.29960,12.29240,0.09230,1.90340,1.72960,0.92480,0.94890,40.40540,0.248,14.8524
2011-12-31,0.49870,0.99480,30.62830,30.62830,63.97850,8.54440,11.96390,0.08800,1.86000,1.61690,0.78120,0.80300,37.85540,0.5279,-11.7103
2010-12-31,0.48570,0.94440,35.37150,35.37150,72.85280,6.30860,18.47350,0.06120,0.96390,0.91440,0.45290,0.46520,32.17670,-0.4816,-11.6799
2009-12-31,0.38800,0.63400,51.05090,51.05090,85.18540,27.74380,32.71430,0.08220,4.12110,3.80860,2.27750,2.33080,30.85830,3.3265,0.055
