,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.28670,0.40200,2.99650,2.99650,3.62420,1.85870,1.40010,0.65740,4.68590,4.63190,0.95610,3.23840,27.16880,-1.5549,-1.6905
2021-12-31,0.21180,0.26870,9.86730,9.86730,10.84780,8.82560,6.96830,0.67060,18.89140,18.97280,4.71080,14.48700,31.19710,1.4682,1.5093
2020-12-31,0.24050,0.31670,17.85290,17.85290,18.86720,16.81560,13.30980,0.66550,34.47990,34.75340,8.89980,25.42760,29.11590,1.0887,1.2739
2019-12-31,0.24380,0.32230,14.23160,14.23160,15.10140,13.22400,10.10550,0.71070,30.19890,30.63380,7.24820,22.01290,23.38900,-0.0486,-0.1396
2018-12-31,0.28930,0.40700,10.90870,10.90870,11.83650,9.89270,8.11130,0.68660,25.37790,26.01620,5.62750,17.21320,18.55590,4.2979,4.1003
2017-12-31,0.26260,0.35610,9.03690,9.03690,10.23770,7.96940,5.93240,0.69350,17.21200,18.87780,4.12930,12.69230,15.96150,1.7429,1.8601
2016-12-31,0.28350,0.39560,7.36310,7.36310,8.54340,6.27390,4.39820,0.70130,13.28630,14.94300,3.16270,9.51980,13.72150,0.7798,0.6267
2015-12-31,0.27090,0.37150,10.29980,10.29980,11.49340,9.16670,6.07850,0.69930,17.84100,20.49030,4.36130,13.00850,12.49040,0.9904,0.9584
2014-12-31,0.23810,0.31240,10.79910,10.79910,11.70310,9.83630,6.60600,0.75200,18.48860,18.52310,4.96750,14.08730,11.78730,-0.2465,-0.1918
2013-12-31,0.23120,0.30070,10.43320,10.43320,11.72810,9.46570,6.41360,0.74450,18.82870,18.82870,4.77460,14.47630,10.38860,0.3648,0.3421
2012-12-31,0.25560,0.34340,8.73920,8.73920,10.38460,7.71310,5.28160,0.75280,15.02080,15.02080,3.97580,11.18080,9.93550,0.4309,0.3463
2011-12-31,0.29610,0.42060,10.47630,10.47630,12.51440,9.42650,6.43760,0.72210,17.48840,17.48840,4.64870,12.31090,9.47260,-0.1798,-0.2136
2010-12-31,0.24460,0.32370,11.38310,11.38310,13.43560,10.28690,7.02110,0.71940,17.66110,17.66110,5.05100,13.34190,9.13180,0.3199,0.3309
2009-12-31,0.27470,0.37870,11.85420,11.85420,14.03840,10.69040,7.26130,0.72640,18.39580,18.39580,5.27450,13.34250,8.54680,2.2118,2.1154
