,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-01-31,1.34300,0.30690,0.44270,29.39570,6.88190,6.88190,9.63600,6.20110,5.04500,1.21170,4.25520,17.20410,50.41190,6.11320,11.92490,34.28920,-5.1956,-5.9127
2021-01-31,1.35400,0.30690,0.44280,30.53120,7.40080,7.40080,10.10810,6.82030,5.26040,1.23260,5.17100,18.41930,60.97050,6.48390,12.76600,31.21610,3.6003,4.2014
2020-01-31,1.20380,0.36030,0.60310,29.81980,5.34590,5.34590,9.43420,4.65340,3.50260,1.20620,4.70470,13.22180,70.59330,4.22490,8.45860,26.42200,0.4231,-0.4943
2019-01-31,2.04860,0.43050,0.75590,30.44040,-4.11640,-4.11640,10.80390,-5.73540,-6.97010,1.69050,4.48980,-28.19120,3751.93900,-11.78270,-16.05540,23.70150,1.0699,0.2953
2018-01-31,1.60060,0.39870,0.79060,31.56550,8.98650,8.98650,11.80330,7.66000,7.70630,1.36200,4.80350,23.86840,-130.04850,10.49610,14.35230,30.26340,-0.7129,-0.9828
2017-01-31,1.87000,0.53370,1.17300,30.86370,8.22810,8.22810,11.57140,6.41630,4.32550,1.31960,4.99840,16.62860,-27.93900,5.70770,7.75310,22.82370,3.4757,3.2348
2016-01-31,1.87840,0.62160,1.66700,30.04630,6.77300,6.77300,10.33660,2.89190,1.82210,0.97470,3.75730,6.40810,-6.58280,1.77600,2.42500,18.75530,-0.964,-1.5464
2015-01-31,2.31500,0.27670,0.38250,35.27010,12.09230,12.09230,14.48580,11.09250,6.96570,2.46290,5.37630,33.56860,37.01280,17.15580,24.28170,8.67840,0.9302,0.8753
2014-01-31,2.00860,0.39270,0.65760,35.58280,12.37580,12.37580,14.80560,12.17170,7.61070,2.82850,4.87830,50.96950,59.58660,21.52680,30.95400,5.62480,0.6842,0.5315
2013-01-31,2.17910,0.13360,0.16270,35.87400,12.44300,12.44300,14.81370,13.23820,8.37510,2.68700,4.87990,37.14390,41.45250,22.50360,32.18310,7.42390,0.1081,-0.2177
2012-01-31,2.08160,0.15680,0.19750,35.86910,11.79550,11.79550,14.26740,11.75630,7.36450,2.84740,4.90220,36.31560,41.68160,20.96970,30.62210,5.81660,0.8059,0.4722
2011-01-31,2.50240,0.14630,0.18270,35.48890,10.70990,10.70990,13.42480,10.70820,6.75400,2.47110,4.72520,27.23100,30.89670,16.68980,23.24750,5.91200,-0.1257,-0.2134
2010-01-31,2.74340,0.14890,0.18720,35.49470,9.80270,9.80270,12.81920,9.70330,6.12670,2.28470,4.96380,22.42510,24.73190,13.99750,19.08650,5.44320,0.671,0.543
2009-01-31,2.61820,0.16630,0.21350,34.27850,7.87530,7.87530,11.35650,7.73110,4.94090,2.28170,4.51720,18.31310,20.49290,11.27380,15.26740,4.60210,1.4809,0.9985
