,current-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,4.39700,67.43600,25.34630,25.34630,31.65280,25.82370,21.25130,0.47960,2.26850,6.60460,55.26450,12.09800,13.37180,10.36230,12.09800,31.75030,-1.5937,-2.1363
2021-12-31,5.08340,69.32450,31.89090,31.89090,37.70860,33.10450,29.85240,0.42130,2.98350,7.29540,50.03160,14.45930,15.74620,12.74880,14.45930,33.41210,1.5989,1.6168
2020-12-31,6.86480,65.64790,24.08680,24.08680,30.81640,27.69370,24.33460,0.39020,2.48910,6.75200,54.05830,10.93130,11.96130,9.55150,10.93130,27.63830,-0.3463,-0.1048
2019-12-31,4.52590,69.44740,30.69110,30.69110,35.51640,33.54250,30.79830,0.46010,2.29770,6.94130,52.58410,16.67890,18.33570,14.19680,16.67890,23.80660,1.1776,0.5159
2018-12-31,5.28050,69.92370,32.20560,32.20560,35.78760,34.35640,30.28570,0.47460,2.73860,5.45830,66.87060,16.82240,18.18650,14.33720,16.82240,19.46870,0.0031,0.0239
2017-12-31,4.23790,70.16760,33.86970,33.86970,37.37490,35.20490,21.37850,0.54320,3.88140,6.17880,59.07320,14.03440,15.30510,11.61370,14.03440,14.18940,0.2054,-0.1888
2016-12-31,5.44910,69.93900,35.08960,35.08960,38.86570,36.40500,27.27880,0.41720,4.46300,6.29130,58.01700,12.77820,13.23900,11.38140,12.77820,16.54580,0.7097,0.7947
2015-12-31,4.46330,66.17600,31.03510,31.03510,35.89580,31.81090,24.69380,0.48590,4.80350,6.04720,60.35880,13.63120,14.73620,11.99850,13.63120,12.83270,0.4033,0.4771
2014-12-31,3.61510,66.32270,25.55710,25.55710,30.63750,25.75410,19.64630,0.53840,3.95100,6.76520,53.95300,12.39270,13.70820,10.57740,12.39270,10.25930,-0.4781,-0.4995
2013-12-31,5.07320,70.38100,37.63630,37.63630,42.23210,38.44860,29.62340,0.57340,3.73550,7.51530,48.56780,19.16380,20.52050,16.98610,19.16380,10.18440,0.2372,0.2561
2012-12-31,4.71310,72.07180,40.30200,40.30200,42.95480,41.02720,30.13590,0.53680,5.00820,5.88390,62.03390,18.34030,19.66690,16.17560,18.34030,9.89520,0.3282,0.2487
2011-12-31,4.57360,72.48620,39.53790,39.53790,43.47010,40.38580,28.17390,0.57370,4.31310,5.89900,61.87530,18.71410,20.14490,16.16340,18.71410,7.47980,0.3681,0.4036
2010-12-31,4.65960,72.89460,39.29230,39.29230,43.41120,40.50250,27.02050,0.59110,4.41240,5.72530,63.75230,18.73960,20.58890,15.97220,18.73960,5.81950,0.3931,0.2798
2009-12-31,4.17700,71.38380,35.86770,35.86770,39.15610,37.64490,22.10610,0.58140,5.22740,5.12270,71.25170,15.13040,16.97320,12.85300,15.13040,4.43670,1.1117,0.9603
