,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-01-31,1.01990,1.25290,-5.13430,33.30490,12.56420,12.56420,14.51950,11.64470,8.73660,2.15610,3.64640,-175.29070,-175.29070,18.91130,44.33130,-7.18810,-0.2642,-0.4855
2021-01-31,1.19200,0.93500,15.15660,33.00560,10.76710,10.76710,12.54620,8.63760,6.48570,1.91710,3.70680,406.05430,406.05430,12.48530,26.39670,1.96580,9.2101,8.6401
2020-01-31,1.00900,0.89480,9.79010,31.79990,8.75150,8.75150,10.70580,7.79370,5.91560,1.82790,3.73360,217.08920,217.08920,10.84590,22.84420,2.58450,-2.1049,-2.4507
2019-01-31,0.98140,0.79790,4.45200,32.12500,5.63460,5.63460,9.22320,4.75960,3.23520,2.06640,3.85330,63.50160,69.26070,6.70570,12.83060,4.54930,1.597,1.5282
2018-01-31,1.05590,0.72600,2.89380,32.69360,9.59790,9.59790,11.84220,7.99920,5.00740,1.94440,4.05380,58.69230,75.49280,9.76740,16.07970,7.07590,-0.3459,-0.3467
2017-01-31,1.00220,0.69110,2.44000,33.33590,8.99150,8.99150,11.43700,7.99940,4.71260,1.88960,4.14450,48.07270,57.79150,8.98920,14.85020,7.42960,1.2261,1.1706
2016-01-31,1.00660,0.60130,1.65260,34.82070,8.41490,8.41490,11.10130,7.48040,4.28950,1.88940,4.07110,33.26370,33.94670,8.14300,13.26110,8.41100,0.1708,-0.2199
2015-01-31,1.05380,0.52020,1.13940,34.78650,8.52320,8.52320,11.34410,7.60540,4.77030,1.77240,4.11460,27.06660,27.06660,8.50540,12.98740,10.38330,1.1042,1.083
2014-01-31,1.16000,0.45970,0.88760,34.58820,6.87610,7.76720,10.69140,6.87610,4.24960,1.63200,3.82830,19.28630,19.28630,6.98400,10.41980,11.50780,0.609,0.7321
2013-01-31,1.26930,0.39450,0.65500,34.29660,6.20930,7.04660,10.25910,6.20930,3.84990,1.54660,3.85980,14.13730,14.13730,5.99710,8.55940,12.48380,-0.1507,0.3069
2012-01-31,1.27640,0.29850,0.46130,34.55620,5.78790,6.52680,9.67180,5.78790,3.63290,1.49610,3.93270,11.12320,11.12320,5.47990,7.80300,13.32230,0.6708,0.2043
2011-01-31,1.40010,0.26520,0.36290,35.13670,6.61270,7.29280,10.74260,6.61270,4.08280,1.44860,3.80520,11.09760,11.09760,5.96460,8.15450,13.37670,-0.0236,0.2635
2010-01-31,1.32320,0.19190,0.26640,34.86450,5.98260,6.59040,10.26050,5.98260,3.74840,1.43070,3.72860,9.35030,9.35030,5.40220,7.55600,13.06990,-0.06,0.9452
2009-01-31,1.21560,0.21820,0.33560,34.21320,7.26930,7.84990,11.30620,7.26930,4.52830,1.47830,3.86510,12.15730,12.15730,6.72800,9.50460,12.28230,2.8291,0.6074
