,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.57370,3.42750,26.64150,21.02900,0.02920,8.29400,8.53310,0.62750,3.20310,104.20210,-10.2152,-11.1331
2021-12-31,0.55660,3.13390,36.63170,29.27440,0.03270,11.98740,12.44810,0.96090,4.81750,102.13490,34.1676,33.8683
2020-12-31,0.57570,3.34040,22.88050,18.54180,0.02640,6.14600,6.40950,0.49140,2.35370,96.15340,-5.4827,-4.8434
2019-12-31,0.56190,2.99070,35.75370,27.18220,0.03430,11.06520,11.65940,0.99790,4.39820,91.73830,-20.5279,-21.3565
2018-12-31,0.54070,2.97560,35.79390,25.45190,0.03420,10.12690,10.65200,0.94340,4.21560,83.20740,18.0719,17.7491
2017-12-31,0.54000,2.78970,35.04870,-12.39280,0.03520,-3.63280,-3.80270,-0.35970,-1.51170,78.47440,-21.8564,-22.2389
2016-12-31,0.47690,2.28950,33.53270,21.29650,0.03570,7.26620,7.59990,0.83890,3.47730,81.56960,5.3932,5.5414
2015-12-31,0.47430,2.18010,35.85190,23.46560,0.04000,8.42450,8.90490,1.00430,4.09690,75.54040,-2.0477,-2.0094
2014-12-31,0.51310,2.80540,20.88480,9.50120,0.03820,3.72910,4.13000,0.40730,1.72590,70.00720,-5.5335,-5.5313
2013-12-31,0.51750,2.87360,28.64870,19.48060,0.03680,6.82870,7.85460,0.72410,3.18690,68.04770,24.2292,24.1513
2012-12-31,0.55630,3.23710,13.32320,12.79540,0.03150,4.14890,4.95800,0.41930,1.81620,63.05850,-25.0432,-25.1687
2011-12-31,0.64310,3.91150,22.30780,16.73010,0.03520,6.21830,7.68810,0.59490,2.21580,61.41600,9.5826,8.7877
2010-12-31,0.69690,4.69620,21.46990,17.25050,0.03210,6.61780,8.58370,0.57220,2.00210,57.05380,57.1604,53.9084
2009-12-31,0.70140,4.67620,-18.78150,-3.86760,0.02240,-0.68920,-0.93230,-0.05740,-0.20540,54.40840,-45.136,-41.7977
