,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-01-31,1.26690,0.35280,0.54520,39.81400,4.85900,4.85900,7.96640,1.93760,1.53570,1.30630,3.32440,9.40480,9.40480,2.00610,6.08650,7.33690,1.4786,0.7147
2021-01-31,1.54690,0.45880,0.84770,34.09420,-6.24640,-6.24640,-2.26090,-7.98550,-4.81880,1.00230,3.71070,-25.43990,-25.43990,-4.82970,-13.76810,6.98930,-3.0991,-1.9647
2020-01-31,1.40730,0.27360,0.37670,37.43520,3.50360,3.50360,6.91570,3.22290,2.14250,1.19770,4.75420,10.58500,10.58500,2.56600,7.68890,8.93800,0.1735,-0.192
2019-01-31,1.95540,0.26010,0.35150,38.13030,8.21470,8.21470,11.34500,7.97350,6.04950,2.05990,4.81370,28.22970,28.22970,12.46120,20.88710,9.39950,0.0745,0.1034
2018-01-31,1.85620,0.28430,0.39730,38.25920,9.32830,9.32830,12.47560,8.98140,5.34850,1.98460,4.90190,26.97200,26.97200,10.61460,19.30340,8.08230,-0.8127,-1.3486
2017-01-31,1.75910,0.30060,0.45210,36.34960,7.67590,7.67590,11.55580,7.24410,4.35680,2.03890,5.39670,23.27820,23.27820,8.88300,16.28130,7.27820,0.4379,0.8858
2016-01-31,1.57200,0.33980,0.68020,36.20940,9.64740,9.64740,12.98350,9.31190,5.82390,2.11390,5.38010,36.14930,36.14930,12.31100,23.86510,6.41060,-0.979,-1.3892
2015-01-31,1.93240,0.30870,0.45360,38.26590,12.67420,12.67420,15.71650,12.24830,7.67870,2.13720,5.37110,42.30640,42.30640,16.41090,29.24680,7.08550,1.1876,1.2746
2014-01-31,1.81190,0.30900,0.45530,38.97080,13.30820,13.30820,16.21870,12.96140,7.92670,2.05730,5.11150,41.80270,41.80270,16.30780,28.88740,6.86550,-0.3162,-0.4005
2013-01-31,1.76280,0.30100,0.43050,39.42880,12.40820,12.40820,15.49420,11.89060,7.25190,2.09520,5.39250,39.21910,39.21910,15.19410,27.41550,6.25050,1.41,1.0877
2012-01-31,2.02490,0.36830,0.60440,36.24990,9.88380,9.88380,13.36170,9.40960,5.72550,1.96030,5.74300,30.23590,30.23590,11.22340,19.10110,5.68040,-0.1635,-0.3227
2011-01-31,1.87400,,0.00070,40.15960,13.42060,13.42060,17.25310,13.51610,8.21060,2.07560,5.41670,29.50980,29.50980,17.04180,29.50980,6.93880,-0.0375,-0.43
2010-01-31,2.18860,,,40.31840,12.78440,12.78440,16.82050,12.79140,7.76220,1.77800,5.73660,22.53120,22.53120,13.80090,22.53120,7.23520,0.7944,0.916
2009-01-31,1.85590,,0.01140,37.49830,10.65680,10.65680,14.56700,10.90460,6.65700,1.92040,6.02860,22.04240,22.04240,12.78420,22.04240,6.32130,1.9638,1.3658
