,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.76250,0.02140,0.02740,97.47430,29.40270,29.40270,33.81270,29.41420,21.99910,1.29380,10.34500,35.28270,37.70030,37.70030,28.46190,36.89270,33.14120,4.5427,2.4405
2021-12-31,2.98080,0.02640,0.02720,96.46550,26.47480,26.47480,31.41930,26.41430,19.67870,1.09020,8.77370,41.60170,28.10950,28.10950,21.45320,27.36620,31.99530,2.5426,-0.1464
2020-12-31,3.33220,0.02920,0.03000,97.56060,22.58660,22.58660,29.09370,22.44920,16.75370,0.91890,8.83960,41.29160,20.22320,20.22320,15.39530,19.63340,28.41570,-0.2835,1.7751
2019-12-31,2.36780,0.01440,0.01460,97.81860,19.92420,19.92420,26.09780,20.05180,14.97940,1.02840,10.06730,36.25610,19.97970,19.97970,15.40500,19.69210,25.77290,0.8414,1.6393
2018-12-31,1.97970,0.01650,0.01680,97.62550,20.20560,20.20560,25.90230,20.16750,14.97810,1.14060,8.63560,42.26700,22.59550,22.76070,17.08380,22.22240,21.99890,2.9776,1.2451
2017-12-31,1.66540,0.01940,0.04170,97.47640,17.14910,17.14910,23.27640,17.14750,13.81060,1.09440,8.07660,45.19210,20.36910,20.54470,15.11440,19.97430,18.42650,-0.1958,0.078
2016-12-31,1.32560,0.05370,0.05670,97.52460,16.17360,16.17360,22.52040,15.96470,9.88680,1.10950,8.94350,40.81160,15.97730,16.14710,10.96950,15.11990,14.97390,0.2095,0.3604
2015-12-31,1.33750,0.05990,0.07940,96.08740,16.76200,16.76200,22.32450,16.48530,10.25050,1.20510,8.61460,42.37010,18.08640,18.29780,12.35310,17.00320,13.30490,1.2944,0.553
2014-12-31,1.57950,0.07430,0.10420,95.36170,15.82940,15.82940,21.08300,15.51400,9.59550,1.26330,8.01350,45.54810,17.90510,18.14150,12.12190,16.57390,11.56930,0.3174,-0.1581
2013-12-31,1.43450,0.11220,0.15540,95.44690,14.47770,14.47770,19.91360,14.06050,8.81710,1.20990,9.05030,40.33000,16.72880,16.99730,10.66790,14.85180,9.53270,0.1749,0.7691
2012-12-31,1.22160,0.16410,0.23430,95.57190,13.36350,13.36350,18.55150,12.79400,7.93840,1.24650,9.68660,37.68070,16.51630,16.83570,9.89490,13.80580,7.93800,0.3766,-0.5098
2011-12-31,1.62030,0.21160,0.31430,95.56070,12.29500,12.29500,17.06550,11.56030,7.32590,1.25820,8.73620,41.78040,16.28340,16.66200,9.21770,12.83840,6.62700,1.0449,-0.0387
2010-12-31,1.30900,0.25930,0.40560,96.59090,9.30040,9.30040,14.72660,8.40150,5.10810,1.19450,8.19590,44.53450,11.31400,11.65320,6.10150,8.38020,5.31370,0.0779,0.9111
2009-12-31,1.17590,0.31200,0.51520,97.28630,5.65390,5.65390,13.26700,4.59150,2.80090,1.07390,8.83500,41.31310,5.88040,6.08000,3.00800,4.04600,4.71250,1.0388,-0.6188
