,current-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,3.67900,100.00000,36.58370,36.58370,46.53690,30.02590,23.45420,0.55730,8.66620,42.11760,16.05280,25.17720,12.45010,16.05280,40.25770,-4.6981,-4.6994
2021-12-31,3.37130,100.00000,48.35830,48.35830,51.02780,52.06790,39.13500,0.61330,7.24930,50.34990,33.42000,54.69740,24.77020,33.42000,40.45560,6.7877,6.6709
2020-12-31,7.42010,100.00000,44.23770,44.23770,47.29240,52.23710,37.17600,0.58230,7.19120,50.75670,32.74040,35.83570,23.67300,32.74040,33.80780,1.9179,1.8472
2019-12-31,6.77570,100.00000,42.48920,42.48920,45.88550,52.10670,36.95330,0.60210,8.68840,42.01020,31.66530,34.94030,24.10290,31.66530,30.19420,-0.1792,-0.3542
2018-12-31,4.86400,100.00000,43.95270,43.95270,46.92140,44.38450,34.20130,0.69870,9.77550,37.33830,28.88000,32.40210,23.00210,28.88000,25.72490,5.6246,5.7014
2017-12-31,6.27990,100.00000,43.43650,43.43650,46.39440,51.59940,30.15300,0.64430,8.58820,42.50030,27.14790,30.65110,20.98360,27.14790,23.76230,0.2552,0.0884
2016-12-31,5.30860,100.00000,40.45460,40.45460,43.56800,45.75480,27.76090,0.68830,9.41510,38.76760,25.03690,28.87470,20.14460,25.03690,20.46130,-5.185,-5.1976
2015-12-31,5.86340,100.00000,45.20550,45.20550,48.21220,47.66940,28.73160,0.82250,9.41840,38.75400,25.68250,29.85620,23.94800,25.68250,19.01230,0.8404,0.7324
2014-12-31,7.82060,100.00000,47.48500,47.48500,50.29010,50.30260,30.52160,0.70550,8.99300,40.58710,22.79060,25.99850,21.78440,22.79060,20.66260,0.3949,0.3203
2013-12-31,8.35720,100.00000,46.99500,46.99500,49.59530,48.80320,29.80310,0.69230,8.73670,41.77770,21.74510,25.23120,20.81620,21.74510,18.38460,1.1719,1.0692
2012-12-31,3.45670,100.00000,45.13810,45.13810,47.81470,47.48060,29.05210,0.71920,8.54050,42.73730,22.97390,27.78270,21.02410,22.97390,14.96430,-0.143,-0.125
2011-12-31,3.43940,100.00000,44.66160,44.66160,47.29720,45.52440,28.01860,0.72860,9.02170,40.45810,22.60360,28.06530,20.50770,22.60360,13.50600,0.8378,0.9703
2010-12-31,3.24460,100.00000,43.78590,43.78590,46.44730,45.20110,28.27810,0.65000,7.68820,47.47530,20.39130,25.55120,18.45690,20.39130,12.73960,0.7223,0.7876
2009-12-31,3.01580,100.00000,37.57100,37.57100,41.08920,36.89090,23.13910,0.58170,7.58490,48.12200,15.04410,19.56240,13.50650,15.04410,11.14820,2.0419,1.5315
