,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.12530,0.14320,41.41710,30.90440,0.04470,15.70810,24.51680,1.44630,12.31150,17.06920,0.1466,0.1456
2021-12-31,0.11610,0.13130,46.17930,34.47290,0.04270,15.12570,21.25810,1.54720,12.15940,19.45630,0.7306,0.7754
2020-12-31,0.16460,0.19710,26.50800,19.99190,0.03360,6.64840,8.74990,0.74230,5.04610,18.85630,-0.1678,-0.1289
2019-12-31,0.32590,0.60930,36.26230,27.45710,0.04340,10.55720,14.38180,1.25320,6.54420,17.02280,0.5192,0.478
2018-12-31,0.45160,0.92940,35.38460,30.67870,0.04400,10.98810,16.11840,1.24750,5.69890,14.72450,0.147,0.1352
2017-12-31,0.33430,0.53310,34.75990,22.40700,0.04310,8.07310,11.51740,0.99840,5.10200,14.27780,0.302,0.1768
2016-12-31,0.31780,0.46590,32.32950,21.35220,0.04090,7.28350,10.28980,0.91610,4.72430,13.72000,0.4167,0.6934
2015-12-31,0.33140,0.49630,29.78390,19.42770,0.04080,6.70870,9.38450,0.85280,4.26710,12.98360,-0.3204,-0.4226
2014-12-31,0.17020,0.33870,32.89010,21.41180,0.04280,7.09240,9.83950,0.94850,5.57660,12.46210,-1.1369,-1.1795
2013-12-31,0.23450,0.44470,31.89040,20.28350,0.04450,7.20720,10.65640,0.94040,5.35970,11.44500,0.8961,0.894
2012-12-31,0.27440,0.47970,32.02240,19.10550,0.04270,7.85110,11.61920,0.97160,5.51970,10.96620,-2.0183,-1.9883
2011-12-31,0.32960,0.67740,4.00200,-10.66370,0.03170,1.44500,1.71010,0.14880,0.76800,13.10680,0.3332,0.3291
2010-12-31,0.44080,1.02350,-27.99340,-25.30680,0.02280,-3.50460,-4.44820,-0.35360,-1.56400,13.32080,1.3853,1.4662
2009-12-31,0.50800,1.23770,-50.37740,-50.09930,0.01770,-7.52150,-9.27940,-0.75460,-2.95500,14.99320,2.0597,1.8231
