,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.47500,0.90460,16.72480,16.72480,46.74180,24.60390,24.15090,0.13070,7.14980,7.59170,3.25620,3.75390,13.13950,0.195,-2.2113
2021-12-31,0.46640,0.87410,16.62890,16.62890,48.22610,6.76980,26.48850,0.12430,1.95120,2.10630,0.90270,1.04110,13.09370,0.0466,1.852
2020-12-31,0.46350,0.86390,9.35610,9.35610,47.37640,13.23400,24.99560,0.10330,2.20180,2.37080,1.00820,1.18120,13.53990,-0.3008,2.5491
2019-12-31,0.47370,0.90020,23.16040,23.16040,78.71080,14.21550,3.54640,0.08840,2.63170,2.73860,1.25040,1.38490,13.19710,-0.0563,-6.4899
2018-12-31,0.46090,0.85490,25.11720,25.11720,73.69140,70.39060,88.84460,0.09370,12.85540,13.48720,6.58270,6.93030,13.63910,-0.021,1.5133
2017-12-31,0.58480,1.40850,20.79020,20.79020,51.27930,22.20330,22.34460,0.13120,7.55390,8.15130,2.99990,3.13630,11.91840,-0.7913,0.5343
2016-12-31,0.60730,1.54670,33.31410,33.31410,62.23900,17.24910,29.42520,0.13510,6.29780,6.85110,2.37430,2.47290,12.69290,-0.0432,1.2161
2015-12-31,0.53180,1.13570,30.57380,30.57380,59.28490,7.02250,-28.88720,0.09050,1.56640,1.66670,0.71170,0.73340,20.93790,-0.0807,-0.5964
2014-12-31,0.46920,0.88400,42.86420,42.86420,73.42270,16.76490,56.19360,0.07670,2.46720,2.58000,1.27190,1.30950,23.91990,0.2001,-0.8408
2013-12-31,0.44210,0.79240,60.43450,60.43450,83.34300,40.57450,46.15040,0.10460,8.33060,8.72150,4.53600,4.64780,23.92140,0.1053,-0.1529
2012-12-31,0.44710,0.80860,61.61150,61.61150,83.10430,39.63260,43.20760,0.09440,7.45030,7.85320,4.02290,4.11940,23.72900,0.6067,0.8118
2011-12-31,0.45600,0.83820,52.71440,52.71440,76.24390,28.95870,30.41170,0.09730,6.00000,6.05920,3.07970,3.16310,22.56480,-0.0821,0.6414
2010-12-31,0.36320,0.57040,52.57150,52.57150,79.32910,30.85620,24.79410,0.09300,4.01160,4.02760,2.36530,2.46510,21.96140,0.0139,-0.7858
2009-12-31,0.48700,0.94920,34.19620,34.19620,62.80420,8.81130,9.51110,0.09390,1.80920,1.84320,0.84070,0.88370,20.29860,1.8776,1.7892
