,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-01-31,1.77300,0.37660,0.60400,27.52840,12.33260,12.33260,14.23930,11.93970,9.10640,1.38680,6.05980,158.63080,2.30090,42.42780,42.42780,12.62870,26.45100,11.54340,-1.4177,-1.8514
2021-01-31,1.68700,0.42660,0.76370,21.48970,1.51390,1.51390,4.42050,0.84820,0.68130,0.98540,6.52000,108.90670,3.35150,2.59470,2.59470,0.67140,1.48780,9.23030,0.3211,0.7157
2020-01-31,1.27050,0.08520,0.09310,28.07450,13.38100,13.38100,15.56870,13.49390,10.35550,1.71570,6.29590,156.88280,2.32660,49.44340,49.44340,17.76700,45.23050,9.41560,0.4668,0.0395
2019-01-31,1.69400,0.08640,0.09450,28.41290,13.61970,13.61970,15.82450,13.68750,10.59470,2.46700,6.12780,154.93110,2.35590,48.02110,48.02110,26.13660,43.87440,8.97710,1.1708,0.985
2018-01-31,1.63580,0.09280,0.13020,28.95060,14.49190,14.49190,16.70750,14.43760,9.64120,2.47020,6.11710,160.86330,2.26900,44.69060,44.69060,23.81580,40.54240,8.03260,0.4277,0.2571
2017-01-31,1.60520,0.12610,0.14430,28.70230,14.01010,14.01010,16.36120,13.88190,8.68640,2.42340,6.06370,171.20520,2.13190,40.67130,40.67130,21.05070,35.54300,7.01220,0.6836,0.8324
2016-01-31,1.48000,0.13810,0.16020,28.16690,13.60450,13.60450,15.90620,13.49880,8.54830,2.45220,6.04390,162.16880,2.25070,41.28900,41.28900,20.96190,35.58770,6.14410,-0.0204,0.6235
2015-01-31,1.35580,0.14790,0.17360,28.10920,13.47940,13.47940,15.58920,13.45240,8.37490,2.35560,5.78280,150.68200,2.42230,40.57210,40.57210,19.72800,34.57210,5.49290,0.9159,0.6445
2014-01-31,1.34030,0.06950,0.07470,28.04820,13.12820,13.12820,15.14290,13.13060,8.18450,2.62530,5.85520,163.39280,2.23390,41.71290,41.71290,21.48700,38.81260,4.70270,0.1693,-0.1537
2013-01-31,1.42800,0.07830,0.08490,27.87390,13.08240,13.08240,14.99060,13.01140,8.09340,2.64840,5.79820,163.05860,2.23850,44.52880,44.52880,21.43440,41.04430,4.00250,0.4156,0.3681
2012-01-31,1.42960,0.09130,0.10050,27.50290,12.35400,12.35400,14.21140,12.23410,7.63420,2.60760,5.52250,169.29460,2.15600,44.01640,44.01640,19.90700,39.99790,3.29050,0.3796,-0.1112
2011-01-31,1.51090,0.10120,0.11260,27.15910,11.52530,11.52530,13.56810,11.40360,7.05300,2.52430,5.27150,173.32320,2.10590,41.62980,41.62980,17.80360,37.41820,2.82200,-0.3732,-0.4705
2010-01-31,1.46610,0.11470,0.12960,25.84740,10.10720,10.10720,12.32100,10.00150,6.16290,2.59490,6.10580,162.41380,2.24730,38.25800,38.25800,15.99190,33.86820,2.35360,0.6658,0.776
2009-01-31,1.37520,0.13080,0.15050,23.58200,7.63480,7.63480,9.82110,7.63730,4.70910,2.75360,5.62570,157.54530,2.31680,30.65540,30.65540,12.96710,26.64420,1.95600,1.1108,0.6837
