,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.69280,1.69720,-2.43890,74.60940,35.14050,35.14050,63.61730,19.96780,17.52180,0.24880,14.28370,25.55360,-8.71440,-5.70980,4.34390,6.07570,-48.85610,1.0511,0.2932
2021-12-31,0.99690,1.75530,-2.32860,76.37410,33.89140,33.89140,69.31290,10.93900,10.29200,0.23560,22.64670,16.11710,-4.49760,-2.93850,2.42430,3.39690,-48.49120,0.7786,0.7092
2020-12-31,0.76930,1.77220,-2.29990,77.12450,30.42020,30.42020,78.51510,-0.85200,1.15710,0.22750,28.11710,12.98140,-0.49840,-0.30130,0.26260,0.38490,-43.93030,1.4663,1.678
2019-12-31,0.31890,1.59670,-2.81820,75.52770,28.96230,28.96230,64.57340,9.27650,7.29610,0.20640,15.24800,23.93750,-4.01650,-2.01930,1.50910,2.39670,-32.80700,1.1573,1.0983
2018-12-31,0.30990,1.60090,-2.94320,74.87290,29.16690,29.16690,66.27920,2.77020,2.54330,0.25860,16.80280,21.72260,-1.40520,-0.70730,0.65780,0.84430,-30.03410,0.5375,0.4667
2017-12-31,0.93050,1.38840,-3.58230,74.16690,26.53860,26.53860,66.90870,6.76580,5.99960,0.23600,19.05390,19.15620,-3.98810,-1.67260,1.41600,1.54900,-22.32030,0.8296,0.7332
2016-12-31,0.37160,1.32440,-4.39680,74.22750,23.71580,23.71580,65.66100,5.34580,4.66820,0.22190,20.84560,17.50970,-3.81970,-1.34870,1.03570,1.23910,-16.49470,0.2756,0.7902
2015-12-31,1.07530,1.25370,-4.95390,72.87730,19.06990,19.06990,60.52160,-10.16770,-10.72070,0.22410,19.66340,18.56240,10.29550,3.22800,-2.40200,-2.61160,-13.56850,0.4271,0.4325
2014-12-31,0.98740,1.09220,-11.89590,71.93940,22.03820,22.03820,65.45870,-1.02550,-1.59100,0.19470,14.64490,24.92330,3.67660,0.50090,-0.30980,-0.33900,-5.11720,1.3363,1.0195
2013-12-31,0.45960,0.93790,16.46270,68.71300,17.59910,17.59910,61.48970,-4.38500,-4.28470,0.19240,18.29110,19.95510,-15.66230,1.84500,-0.82420,-0.97200,2.77940,1.0601,0.6799
2012-12-31,0.45020,0.88200,8.20240,70.70420,15.42280,15.42280,60.25320,-18.56150,-18.97500,0.14420,24.40180,14.95790,-28.13000,7.40330,-2.77640,-3.31940,5.14440,0.6025,0.7984
2011-12-31,1.01950,1.00340,-296.51600,70.93530,15.84990,15.84990,61.44540,-17.87230,-18.11250,0.19360,31.59140,11.55380,1121.63800,7.68530,-3.51850,-3.80120,-0.10320,0.4917,-0.0695
2010-12-31,1.12360,0.89920,8.91630,68.17170,11.85300,11.85300,57.78620,-30.86660,-31.06740,0.18430,33.35920,10.94150,-61.31030,16.43590,-5.71800,-6.18280,2.76150,-0.1595,-0.3421
2009-12-31,1.49210,0.80400,4.14880,67.49980,9.89250,9.89250,58.31490,-25.31480,-25.35870,0.16760,28.27900,12.90710,-23.52180,16.88750,-4.25870,-4.61120,5.12420,1.8996,1.5059
