,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.04100,0.39920,0.67940,54.94170,21.08590,21.08590,39.19490,16.42330,14.26400,0.21150,0.70760,515.84010,8.18980,-14.58840,3.07860,4.92030,40.21300,1.121,0.5656
2021-12-31,1.03140,0.39560,0.67050,49.90760,14.10080,14.10080,34.11810,10.26750,8.22140,0.21280,0.98270,371.43350,4.42980,-7.47470,1.84000,2.67740,40.39800,-0.0616,-0.4719
2020-12-31,1.03720,0.38040,0.62550,47.40100,12.46970,12.46970,34.39940,7.88450,6.45030,0.19900,1.06060,344.13510,2.94830,-5.23910,1.30660,1.82690,49.50600,0.7199,0.7826
2019-12-31,1.08390,0.38450,0.63300,47.88460,15.79460,15.79460,33.24830,10.63120,8.76610,0.13140,3.66180,99.67900,2.64200,-4.78910,1.17880,1.62610,51.01760,1.5968,1.0873
2018-12-31,1.10650,0.72200,2.59880,47.29520,30.10480,30.10480,39.65310,26.70450,20.38470,0.51700,3.79350,96.21760,51.76630,-21.37970,10.53990,14.39140,5.84200,0.3131,0.1083
2017-12-31,1.01910,0.64200,1.79420,46.91010,26.89610,26.89610,34.69100,23.84130,21.87500,0.55360,5.71310,63.88780,45.11170,-25.98610,11.97400,16.15100,6.57910,0.2428,0.225
2016-12-31,0.94950,0.63740,1.79540,46.24890,26.24890,26.24890,33.89650,23.16080,16.89370,0.56500,6.10310,59.80560,36.59980,-19.93570,9.54530,13.27060,5.89560,0.1898,0.3439
2015-12-31,1.00270,0.61720,1.61390,46.24890,26.24890,26.24890,33.82380,23.16080,16.89370,0.58940,6.86410,53.17530,34.96240,-21.07890,9.95720,13.38520,5.90320,0.4197,0.1958
2014-12-31,0.97170,0.52880,1.15020,43.13070,23.88470,23.88470,31.85950,20.66720,14.88350,0.54430,6.34840,57.49510,22.88320,-19.24940,8.10060,10.78220,6.85600,0.6338,0.4995
2013-12-31,1.18020,0.51160,1.07340,42.33490,22.03990,22.03990,30.41130,18.65390,13.46070,0.50600,6.41010,56.94120,18.13110,-17.22770,6.83280,8.85440,6.98290,0.4505,0.3579
2012-12-31,1.30590,0.48580,0.94530,42.20020,23.62490,23.62490,31.51490,19.86020,13.77370,0.52210,6.71100,54.38800,17.32510,-19.52510,6.96720,8.90900,6.40130,-0.1366,-0.158
2011-12-31,0.97980,0.49680,1.04210,41.61810,23.08230,23.08230,31.12610,16.85710,11.00490,0.50180,6.43990,56.67760,14.94780,-14.56780,5.69720,7.52240,5.81370,0.0596,0.0185
2010-12-31,1.59030,0.50940,1.03930,42.26950,24.36490,24.36490,32.56710,19.18700,12.00100,0.49910,7.22550,50.51540,15.67050,-16.71620,6.11040,7.68760,5.49520,0.2114,0.2415
2009-12-31,1.09990,0.52780,1.20320,41.62370,23.20330,23.20330,31.37110,18.00340,11.67530,0.48660,7.35920,49.59770,15.63120,-14.11520,5.64570,7.38140,4.93800,1.3674,1.0489
