,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.38500,0.69270,4.66110,4.66110,6.28810,4.62730,3.69390,1.25420,15.02950,-20.18670,4.68690,9.24300,150.27990,6.5591,5.8071
2021-12-31,0.39770,0.71440,4.55830,4.55830,6.23740,3.89600,3.08200,1.12390,11.48950,-16.51770,3.49610,6.91970,145.93680,-7.0052,-7.42
2020-12-31,0.36990,0.65410,5.08290,5.08290,6.82980,6.77550,5.27300,1.03180,16.86740,-28.77730,5.46090,10.62810,141.86050,3.1227,2.9175
2019-12-31,0.41290,0.82500,5.25960,5.25960,7.63710,4.27830,3.32370,0.98580,11.29150,-14.29370,3.28680,6.62890,121.71870,9.9062,9.2518
2018-12-31,0.49060,1.03520,8.55090,8.55090,9.97940,7.36070,5.42040,0.31750,6.44820,-6.22980,1.72690,3.28460,107.72490,-0.9526,-1.2162
2017-12-31,0.27490,0.39670,9.42930,9.42930,10.78310,8.62560,5.35090,0.67690,16.27890,30.99140,3.61400,11.80330,56.20020,0.5133,0.4423
2016-12-31,0.25730,0.36660,7.75140,7.75140,9.28260,7.47780,4.68650,0.67110,13.42610,23.78990,3.10480,9.97130,53.43970,4.2506,4.4321
2015-12-31,0.29420,0.42920,8.78390,8.78390,10.32840,8.78390,5.52860,0.66350,17.24510,34.47300,3.63820,12.17180,46.94710,3.2209,3.0249
2014-12-31,0.31580,0.47510,9.46330,9.46330,11.14740,9.46330,6.02050,0.62490,19.40870,43.62500,3.74800,13.28010,41.61200,5.5086,5.5988
2013-12-31,0.32150,0.49590,6.72020,6.72020,8.56390,6.72020,4.55840,0.59590,13.96840,32.46920,2.72010,9.47740,38.40290,-5.591,-6.033
2012-12-31,0.33790,0.53100,8.50650,8.50650,10.42960,8.50650,5.57370,0.54190,16.62400,43.09980,3.02230,11.00640,34.17780,2.6799,2.8095
2011-12-31,0.38430,0.63720,8.57990,8.57990,10.15780,8.57990,5.76260,0.43130,15.77430,26.10770,2.48730,9.71200,27.99680,-0.8949,-1.3439
2010-12-31,0.25560,0.42620,8.52900,8.52900,9.91100,8.52900,6.05360,0.46250,19.25560,36.20200,2.80850,14.33360,24.50710,3.626,3.6511
2009-12-31,0.30970,0.46790,10.30740,10.30740,11.76280,10.30740,7.07070,0.42810,24.01920,51.07720,3.03160,16.57980,19.79530,2.7056,1.5907
