,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.29850,1.31860,26.17050,19.00080,0.04350,12.87760,12.64170,0.86170,8.32400,54.02110,4.963,4.8045
2021-12-31,0.23300,0.64640,30.70730,22.77120,0.03560,13.88170,13.66240,0.84030,9.86280,57.83930,-2.5841,-2.3915
2020-12-31,0.28190,0.76150,27.23650,19.09370,0.03520,11.19370,11.01260,0.71130,7.42910,56.11580,-2.9469,-2.8639
2019-12-31,0.26500,1.06270,31.93540,23.47230,0.04450,15.19920,14.35610,1.09060,9.88880,52.88760,4.1487,3.8507
2018-12-31,0.24450,1.33850,32.76820,25.27320,0.04520,16.16820,15.81870,1.17720,11.18940,47.98050,0.3822,0.3463
2017-12-31,0.23990,1.21330,30.23890,20.92060,0.03900,12.84520,12.47580,0.86510,8.92080,45.17900,0.9018,0.9886
2016-12-31,0.24120,0.91020,30.41620,19.85650,0.04020,11.61630,11.16100,0.83320,8.01920,42.73920,-1.2424,-1.3075
2015-12-31,0.26540,0.93030,30.87070,19.70250,0.04060,11.70800,11.90540,0.83410,8.21640,37.96830,3.8945,3.8184
2014-12-31,0.28630,0.81580,27.51780,18.24190,0.03930,10.07150,10.25560,0.73840,6.85750,36.20060,0.4484,0.4859
2013-12-31,0.33480,0.93830,26.42960,17.67870,0.03950,9.24290,9.92090,0.71040,6.14800,33.33870,0.1081,0.0304
2012-12-31,0.35290,0.79070,25.63350,17.49630,0.03970,9.13110,9.83370,0.70520,5.90900,31.50490,-1.8062,-1.7098
2011-12-31,0.38930,1.05130,23.78800,16.05700,0.03710,8.48070,9.16590,0.60230,5.17920,29.53130,1.9286,1.9011
2010-12-31,0.41780,1.44890,28.37970,19.03550,0.04160,9.80190,10.41310,0.79850,5.70630,28.19300,-1.0335,-0.8458
2009-12-31,0.42500,2.28640,35.14100,21.08400,0.04350,13.69120,14.62140,1.05210,7.87170,26.11760,4.292,3.7311
