,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,1.04320,0.37710,0.66540,43.59810,18.52390,18.52390,25.53620,15.51940,13.03070,0.21980,0.52110,700.44780,12.14340,-30.39800,2.86830,7.56460,43.37050,1.6789,1.4483
2021-12-31,1.05590,0.40430,0.73410,37.86760,14.63200,14.63200,21.53020,11.87790,11.04590,0.24620,0.69850,522.55720,11.15640,-23.52160,2.86400,6.64570,41.05560,-1.0467,-1.1578
2020-12-31,1.09760,0.40630,0.72920,37.90910,15.23930,15.23930,23.26950,12.43500,11.69110,0.31360,1.08820,335.41890,13.76770,-37.40300,3.84260,8.17340,32.17710,3.0016,3.2224
2019-12-31,1.02200,0.42250,0.88330,34.78390,11.20080,11.20080,17.79430,8.70190,9.29530,0.36640,1.32770,274.91430,13.72450,-26.29980,3.64560,7.92550,27.72730,2.1566,2.0946
2018-12-31,1.05530,0.40350,0.79010,30.16590,8.90970,8.90970,14.95240,6.91380,9.13610,0.42450,1.42750,255.69480,14.79090,-36.95660,4.13800,8.82250,24.83530,-0.5818,-0.5404
2017-12-31,1.08010,0.38500,0.72870,29.85600,7.74360,7.74360,13.91740,5.75770,7.70200,0.41910,1.53060,238.47370,12.02180,-34.23860,3.46690,7.39320,23.75530,1.0495,1.5609
2016-12-31,0.95760,0.36970,0.77910,30.53780,7.80560,7.80560,13.98120,5.87270,6.98530,0.49440,3.07920,118.53750,11.77030,-24.73980,3.74510,7.41850,20.50360,-0.32,-0.9693
2015-12-31,1.00640,0.35970,0.66530,29.89390,7.35290,7.35290,13.55050,5.44280,6.61670,0.49420,3.10980,117.37070,10.54990,-23.25070,3.56630,6.75530,20.84910,1.1317,1.0883
2014-12-31,1.04630,0.39130,0.72400,30.26050,8.22440,8.22440,13.82040,6.30070,6.55790,0.46220,3.16340,115.38150,9.90890,-17.05290,3.27170,6.03120,20.07960,-0.0248,0.1642
2013-12-31,0.87540,0.28350,0.69790,33.25260,10.72780,10.72780,16.34480,9.15210,8.44760,0.46350,2.46710,147.94690,13.64660,-24.99780,4.14840,9.77840,15.61000,0.0544,-0.2465
2012-12-31,1.02820,0.30420,0.51490,36.31710,11.43910,11.43910,17.00990,9.73300,7.73720,0.47090,2.29930,158.74160,11.75690,-31.26500,3.64330,8.18090,13.20540,0.2756,0.2673
2011-12-31,1.06070,0.35180,0.55080,36.37980,11.64570,11.64570,17.04220,9.73440,6.75040,0.47610,2.07840,175.61790,11.58730,-30.45230,3.21400,7.51070,10.84220,0.3408,0.1716
2010-12-31,1.09430,0.33200,0.49700,36.62160,12.74540,12.74540,17.73950,10.88940,9.33910,0.51840,2.48530,146.86540,14.75560,-62.68710,4.54120,9.85690,10.20940,0.0812,0.076
2009-12-31,1.04450,0.38120,0.61600,38.20040,13.85530,13.85530,18.80530,12.20730,7.43650,0.53200,2.49290,146.41790,14.90650,-46.24740,4.09500,9.22450,8.71120,2.1024,1.8688
