,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-12-31,0.53640,1.20190,-2.95750,-2.95750,-1.24730,-2.95750,-2.39470,0.08700,-8.49600,-8.49600,-0.21190,-3.93900,47.02110,-11.2981,-11.2981
2021-12-31,0.22930,0.30900,13.22500,13.22500,15.00690,13.22500,10.88900,0.07570,12.44890,12.44890,0.83130,9.59500,166.38410,4.0105,4.0105
2020-12-31,0.22430,0.30260,-0.56630,-0.56630,0.23500,-0.56630,-0.65580,0.06060,-0.21400,-0.21400,-0.01550,-0.16600,172.05760,-26.619,-26.619
2019-12-31,0.22640,0.32300,7.84640,7.84640,8.55620,7.84640,6.45920,0.07230,6.65110,6.65110,0.47270,5.14540,159.76400,-3.0696,-3.0696
2018-12-31,0.26170,0.40440,7.67400,7.67400,7.92960,7.67400,6.46750,0.07730,8.33760,8.33760,0.50150,6.15580,119.38050,19.959,19.959
2017-12-31,0.23960,0.34030,10.86800,10.86800,11.23990,10.86800,13.17330,0.07170,14.62820,14.62820,0.95830,11.12400,129.00420,-2.4379,-2.4379
2016-12-31,0.28130,0.41600,9.70580,9.70580,10.24690,9.70580,7.43120,0.07500,9.58820,9.58820,0.56370,6.89080,107.28770,3.0271,3.0271
2015-12-31,0.31850,0.49640,13.60140,13.60140,13.79930,13.60140,9.87760,0.07540,13.62500,13.62500,0.75430,9.28520,93.76630,-11.1886,-11.1886
2014-12-31,0.31890,0.55890,3.25110,3.25110,4.41730,3.25110,2.55240,0.07060,3.36730,3.36730,0.18600,2.29330,93.10890,23.2352,23.2352
2013-12-31,0.39630,0.73080,-4.06160,-4.06160,-3.07040,-4.06160,-1.60870,0.05670,-1.58020,-1.58020,-0.07750,-0.95400,77.82370,-26.432,-26.432
2012-12-31,0.38740,0.69580,0.83440,0.83440,1.19040,0.83440,0.61290,0.11960,1.41900,1.41900,0.07830,0.86930,84.10590,19.3414,19.3414
2011-12-31,0.41410,0.77370,10.11310,10.11310,10.70390,10.11310,7.39940,0.07910,10.42160,10.42160,0.58540,6.10630,74.12360,11.5654,11.5654
2010-12-31,0.41800,0.77850,10.83290,10.83290,10.56080,10.83290,7.85250,0.07080,9.04700,9.04700,0.55180,5.26500,67.78110,0.7311,0.7311
2009-12-31,0.44980,0.93900,4.70660,4.70660,5.24710,4.70660,9.64790,0.06740,12.08360,12.08360,0.64740,6.64800,55.43720,13.0299,13.0299
