Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-01-31,1.0199,1.2529,-5.1343,33.3049,12.5642,12.5642,14.5195,11.6447,8.7366,2.1561,3.6464,-175.2907,-175.2907,18.9113,44.3313,-7.1881,-0.2642,-0.4855
2021-01-31,1.192,0.935,15.1566,33.0056,10.7671,10.7671,12.5462,8.6376,6.4857,1.9171,3.7068,406.0543,406.0543,12.4853,26.3967,1.9658,9.2101,8.6401
2020-01-31,1.009,0.8948,9.7901,31.7999,8.7515,8.7515,10.7058,7.7937,5.9156,1.8279,3.7336,217.0892,217.0892,10.8459,22.8442,2.5845,-2.1049,-2.4507
2019-01-31,0.9814,0.7979,4.452,32.125,5.6346,5.6346,9.2232,4.7596,3.2352,2.0664,3.8533,63.5016,69.2607,6.7057,12.8306,4.5493,1.597,1.5282
2018-01-31,1.0559,0.726,2.8938,32.6936,9.5979,9.5979,11.8422,7.9992,5.0074,1.9444,4.0538,58.6923,75.4928,9.7674,16.0797,7.0759,-0.3459,-0.3467
2017-01-31,1.0022,0.6911,2.44,33.3359,8.9915,8.9915,11.437,7.9994,4.7126,1.8896,4.1445,48.0727,57.7915,8.9892,14.8502,7.4296,1.2261,1.1706
2016-01-31,1.0066,0.6013,1.6526,34.8207,8.4149,8.4149,11.1013,7.4804,4.2895,1.8894,4.0711,33.2637,33.9467,8.143,13.2611,8.411,0.1708,-0.2199
2015-01-31,1.0538,0.5202,1.1394,34.7865,8.5232,8.5232,11.3441,7.6054,4.7703,1.7724,4.1146,27.0666,27.0666,8.5054,12.9874,10.3833,1.1042,1.083
2014-01-31,1.16,0.4597,0.8876,34.5882,6.8761,7.7672,10.6914,6.8761,4.2496,1.632,3.8283,19.2863,19.2863,6.984,10.4198,11.5078,0.609,0.7321
2013-01-31,1.2693,0.3945,0.655,34.2966,6.2093,7.0466,10.2591,6.2093,3.8499,1.5466,3.8598,14.1373,14.1373,5.9971,8.5594,12.4838,-0.1507,0.3069
2012-01-31,1.2764,0.2985,0.4613,34.5562,5.7879,6.5268,9.6718,5.7879,3.6329,1.4961,3.9327,11.1232,11.1232,5.4799,7.803,13.3223,0.6708,0.2043
2011-01-31,1.4001,0.2652,0.3629,35.1367,6.6127,7.2928,10.7426,6.6127,4.0828,1.4486,3.8052,11.0976,11.0976,5.9646,8.1545,13.3767,-0.0236,0.2635
2010-01-31,1.3232,0.1919,0.2664,34.8645,5.9826,6.5904,10.2605,5.9826,3.7484,1.4307,3.7286,9.3503,9.3503,5.4022,7.556,13.0699,-0.06,0.9452
2009-01-31,1.2156,0.2182,0.3356,34.2132,7.2693,7.8499,11.3062,7.2693,4.5283,1.4783,3.8651,12.1573,12.1573,6.728,9.5046,12.2823,2.8291,0.6074
