Date,current-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,3.2643,57.7492,21.1478,21.1478,24.5191,21.9118,20.0314,0.6287,1.3554,7.3994,49.3282,15.692,17.8381,12.593,15.692,32.3779,-1.1612,-0.8208
2021-12-31,2.9429,58.0088,24.4566,24.4566,27.5636,24.2193,21.7187,0.6344,1.7044,5.9077,61.7841,17.6999,20.3303,13.7782,17.6999,31.7441,-0.6715,-1.3091
2020-12-31,3.1518,59.2689,25.1815,25.1815,28.2082,26.3559,23.7025,0.5954,2.2376,4.9285,74.0597,17.9895,21.1694,14.1128,17.9895,28.7941,2.2568,1.9165
2019-12-31,2.9518,59.4537,25.1653,25.1653,27.9909,26.2733,25.3489,0.6093,2.0235,5.3165,68.6542,19.8704,23.041,15.4454,19.8704,25.1382,-1.1871,-0.9902
2018-12-31,2.893,59.1412,23.2519,23.2519,26.1255,24.5933,20.7346,0.6219,2.4344,5.8744,62.1337,16.6727,18.5291,12.8943,16.6727,21.9727,1.3449,1.2707
2017-12-31,2.9619,57.5975,21.9005,21.9005,24.6636,22.3309,22.7132,0.6308,2.557,5.2829,69.0911,18.4042,20.595,14.3283,18.4042,20.471,-0.2255,-0.487
2016-12-31,2.8912,55.4379,20.7783,20.7783,23.613,20.9674,16.998,0.6731,2.7995,5.7788,63.1617,15.147,16.631,11.4411,15.147,18.1264,2.2594,2.1629
2015-12-31,2.5532,54.5588,19.4868,19.4868,22.2653,20.1111,16.1767,0.6268,2.5603,5.3064,68.7844,13.6386,14.719,10.1398,13.6386,17.6317,-1.2245,-1.2309
2014-12-31,2.4301,55.89,24.0581,24.0581,26.7409,25.2118,12.6874,0.6116,3.0115,5.0346,72.499,10.7015,11.4342,7.7602,10.7015,17.743,-0.5171,-0.6098
2013-12-31,2.8671,53.4719,21.811,21.811,24.8052,24.8326,23.2693,0.5394,3.2037,4.6616,78.3,16.7339,17.8016,12.5505,16.7339,18.7533,-0.2806,-0.3697
2012-12-31,2.7899,52.9695,22.2471,22.2471,25.5784,22.9972,19.9731,0.5635,3.2754,4.4986,81.1366,15.3577,16.4404,11.2552,15.3577,18.057,-0.7296,-0.746
2011-12-31,3.0,48.5249,20.0744,20.0744,23.5014,21.1762,18.8828,0.6169,3.5701,4.5412,80.3747,15.9952,17.3059,11.6497,15.9952,16.7293,0.3275,0.3138
2010-12-31,3.7349,50.0527,23.669,23.669,27.1878,21.4606,21.7332,0.6744,3.4665,3.5998,101.3959,19.1701,20.4092,14.6565,19.1701,15.6904,-1.5488,-1.4662
2009-12-31,3.4935,49.0121,26.6766,26.6766,29.9513,27.445,23.8915,0.7697,4.8472,3.3708,108.2833,24.818,26.8398,18.3891,24.818,14.1628,5.4407,5.1961
