Date,current-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,5.3554,58.4429,29.3613,29.3613,31.6738,29.2583,24.3944,0.8714,1.6669,9.8194,37.1712,26.2299,26.3336,21.2577,26.2299,35.4215,-1.5813,-0.8265
2021-12-31,4.9565,56.7528,21.7269,21.7269,24.49,22.5385,20.0384,0.7616,2.0135,11.5234,31.6748,19.4555,19.5588,15.2617,19.4555,26.8935,0.9861,0.1973
2020-12-31,5.7291,55.1783,18.8148,18.8148,21.4396,20.0535,19.4653,0.6988,2.4099,12.6334,28.8918,17.0057,17.1221,13.6017,17.0057,21.353,0.9696,1.6778
2019-12-31,6.6705,55.1542,16.3336,16.3336,18.2112,18.015,17.3332,0.6566,2.2086,11.9141,30.636,14.0711,14.1917,11.3804,14.0711,17.7341,1.5552,0.1692
2018-12-31,7.2205,55.4049,19.4869,19.4869,21.8769,20.3444,18.0754,0.734,1.9043,10.5477,34.6046,16.4457,16.6163,13.2674,16.4457,15.0592,0.1006,1.1048
2017-12-31,6.8142,54.8454,16.4407,16.4407,19.7418,17.6129,13.8456,0.7217,2.1419,12.3808,29.4811,12.4908,12.6735,9.9917,12.4908,12.544,0.4993,-0.1245
2016-12-31,7.2369,54.2557,14.0087,14.0087,17.723,14.7335,13.5644,0.7604,2.4877,11.3486,32.1627,12.2287,12.5064,10.3145,12.2287,10.5684,0.8652,0.3635
2015-12-31,7.6688,54.0939,12.3309,12.3309,16.6081,12.7575,10.56,0.7723,2.4189,10.8033,33.7859,9.5442,9.8551,8.1552,9.5442,9.2851,-0.1567,-0.3014
2014-12-31,8.3533,54.0174,12.494,12.494,17.2251,12.8805,12.5631,0.7075,3.1751,11.0236,33.1108,10.2461,10.6578,8.8878,10.2461,8.9211,0.2916,0.4585
2013-12-31,7.5888,53.7194,10.0445,10.0445,15.3378,10.0831,9.6173,0.6454,2.773,10.0333,36.3787,7.0804,7.0804,6.207,7.0804,8.4458,0.8841,1.0588
2012-12-31,9.1347,52.9191,8.0814,8.0814,12.546,8.3671,7.3691,0.7446,3.1345,11.031,33.0887,6.1,6.1,5.4868,6.1,7.2406,-0.5552,-0.5379
2011-12-31,8.113,51.6968,6.8273,6.8273,11.462,6.9846,6.7683,0.7176,4.7217,13.0171,28.0401,5.4764,5.4764,4.8567,5.4764,7.1802,-0.0395,-0.0352
2010-12-31,7.745,55.5004,13.9362,13.9362,17.9135,14.3575,13.509,0.7771,3.7761,11.9278,30.6007,11.9739,11.9739,10.4981,11.9739,7.0415,0.4149,0.0845
2009-12-31,8.5068,59.1959,11.8358,11.8358,16.0495,12.2103,11.9231,0.6824,3.4324,10.6313,34.3327,9.2385,9.2385,8.1358,9.2385,6.0559,0.8671,0.5953
