Date,current-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-01-31,1.8607,57.676,21.3111,21.3111,24.8946,21.3193,15.5887,1.2659,2.7399,81.2537,4.4921,35.5951,42.7423,19.7335,35.5951,21.3233,4.5229,3.2467
2021-01-31,2.4054,55.9759,18.6281,18.6281,22.8417,18.6136,13.3787,1.0518,2.9941,70.5441,5.1741,23.0173,28.156,14.0713,23.0173,19.628,1.0274,1.4372
2020-01-31,2.9141,55.8739,22.3434,22.3434,26.4128,22.5516,16.2239,1.2127,3.3864,98.9407,3.6891,33.0699,33.4888,19.6747,33.0699,14.9769,-0.4333,-0.9092
2019-01-31,2.8558,55.2345,21.465,21.465,25.1898,21.7512,14.7127,1.5774,3.6361,91.8884,3.9722,33.4585,34.0289,23.2071,33.4585,11.0437,1.9515,1.425
2018-01-31,4.9087,52.8009,17.2129,17.2129,21.2985,17.3638,9.7638,1.3256,3.7941,138.1725,2.6416,16.1972,16.4514,12.9429,16.1972,11.7917,0.7786,0.7085
2017-01-31,4.8049,51.1696,17.9642,17.9642,21.705,18.0315,12.9407,1.4144,3.836,254.8252,1.4324,22.3079,22.7181,18.3031,22.3079,9.9207,0.6896,0.6212
2016-01-31,4.0666,48.3938,17.9118,17.9118,21.4731,17.8836,12.9116,1.568,3.7441,157.1958,2.3219,25.8931,26.5329,20.2459,25.8931,7.4842,-0.0546,-0.2453
2015-01-31,5.9482,50.8665,20.9231,20.9231,24.1706,21.3183,13.3002,1.3865,4.243,130.7444,2.7917,21.9383,22.4781,18.4409,21.9383,7.676,0.2733,0.1721
2014-01-31,8.1362,52.7955,24.5953,24.5953,27.6791,24.9578,17.5685,1.2705,3.9786,133.6796,2.7304,25.4903,26.163,22.3211,25.4903,7.5479,-0.0152,-0.1044
2013-01-31,5.9019,55.6662,27.4701,27.4701,30.608,27.8319,19.7435,1.3038,3.914,215.7704,1.6916,30.5907,31.6686,25.8241,30.5907,7.8962,0.5195,0.7221
2012-01-31,5.0957,56.8874,28.6718,28.6718,31.6951,28.9215,18.3909,1.3624,4.1451,192.395,1.8971,30.513,32.2064,25.1777,30.513,4.2229,0.1504,-0.3938
2011-01-31,4.5602,55.4932,25.3464,25.3464,28.8048,25.7519,17.1205,1.4254,5.5118,78.072,4.6752,30.9914,33.2798,24.4736,30.9914,3.6934,0.4199,0.2313
2010-01-31,3.6881,49.2575,19.1094,19.1094,23.7091,19.1456,12.8685,1.474,5.2147,54.9767,6.6392,25.0017,25.896,18.9681,25.0017,1.653,0.504,0.7044
2009-01-31,2.5805,50.6572,16.0017,16.0017,20.4779,16.2339,11.1356,1.6703,3.351,87.7359,4.1602,26.1563,27.6114,19.1371,26.1563,1.107,0.3273,0.0177
