Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-01-31,1.0487,0.1541,0.1822,73.4788,2.0685,2.0685,19.6059,5.7829,5.4507,0.2783,2.7202,134.1814,2.484,118.75,1.5167,2.1012,58.7776,0.9978,1.0251
2021-01-31,1.2347,0.0605,0.0644,74.4118,2.141,2.141,20.511,12.0506,19.1606,0.3205,2.7295,133.7234,9.8137,36.814,6.1417,9.2198,45.1502,0.0671,0.0601
2020-01-31,1.0753,0.0731,0.0789,75.231,1.737,1.737,19.3473,4.1291,0.7369,0.3102,2.7694,131.7996,0.3718,3.1289,0.2286,0.3447,37.9451,0.7108,0.722
2019-01-31,0.9492,0.169,0.2033,74.0175,4.028,4.028,16.9703,7.401,8.3572,0.4321,2.6974,135.3155,7.1131,133.574,3.6113,5.9112,20.2662,0.6593,0.6182
2018-01-31,0.952,0.0628,0.1658,73.6907,4.3074,4.3074,17.3624,3.9848,3.4156,0.4794,2.6881,135.7841,3.4695,16.1074,1.6376,3.2517,14.2137,0.6366,0.5729
2017-01-31,0.822,0.2112,0.2678,73.5214,2.5839,2.5839,16.0128,2.1216,3.8284,0.4798,2.6393,138.2926,4.3066,-36.8262,1.8368,3.397,10.6015,0.5614,0.3285
2016-01-31,1.0204,0.2045,0.2571,75.1838,1.7237,1.7237,14.807,0.9641,-0.7113,0.5224,2.671,136.6538,-0.948,-7.154,-0.3716,-0.7541,7.4566,0.6343,0.6697
2015-01-31,0.8006,0.2564,0.3448,76.0073,-2.7102,-2.7102,11.1643,-3.9654,-4.8885,0.5038,2.82,129.4312,-6.6082,-136.4449,-2.4631,-4.9138,6.1101,0.428,0.4631
2014-01-31,0.6734,0.3,0.6168,76.2116,-7.0271,-7.0271,8.0443,-8.7923,-5.7031,0.4448,2.9915,122.0106,-7.6411,50.2203,-2.5366,-5.3491,4.98,0.1604,-0.0292
2013-01-31,0.6909,,0.2249,77.589,-3.6296,-3.6296,9.3433,-4.1897,-8.8665,0.5517,3.4954,104.4233,-11.669,-34.3093,-4.8914,-11.669,3.9575,0.2116,0.1809
2012-01-31,0.727,0.0434,0.358,78.4303,-1.548,-1.548,10.5775,-1.47,-0.5106,0.5443,3.3149,110.1093,-0.729,-1.4429,-0.2779,-0.6973,2.8959,0.2527,0.1388
2011-01-31,0.8421,0.2807,0.3902,80.4595,5.8835,5.8835,16.4756,6.2939,3.8907,0.5361,3.8814,94.0381,5.46,7.9164,2.2547,3.9277,2.4008,0.3115,0.2418
2010-01-31,1.8788,0.305,0.4388,80.2445,8.8292,8.8292,17.8517,10.9056,6.1826,0.5307,4.0678,89.7292,8.015,8.4044,3.4425,5.5706,2.0776,0.0704,0.0957
2009-01-31,1.3932,0.011,0.0112,79.5248,5.9198,5.9198,14.7149,7.949,4.0332,0.7276,4.0396,90.356,7.0382,7.5335,3.246,6.9606,1.3889,0.4583,0.3364
