Date,long-term-debt-capital-annual,debt-equity-ratio-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,0.5025,2.1192,33.5137,28.1526,0.0303,11.2451,13.4826,0.9022,5.0126,34.1634,0.0658,0.0658
2021-12-31,0.5091,2.2102,36.2577,32.6091,0.0296,13.0332,15.906,1.0089,5.8122,33.433,-5.1594,-5.1594
2020-12-31,0.4907,1.9196,25.597,22.1984,0.0263,7.2033,8.7727,0.6346,3.3393,31.5489,-2.2233,-2.2233
2019-12-31,0.4763,1.9389,37.3674,29.6598,0.036,11.3625,14.005,1.1269,5.4245,29.9689,2.6817,2.6817
2018-12-31,0.4637,1.9025,39.4174,30.427,0.0373,11.5832,14.3334,1.1955,5.6895,27.44,2.9453,2.9453
2017-12-31,0.4598,1.9395,34.8895,19.8471,0.0367,7.447,9.199,0.7992,3.6866,25.9685,-0.6488,-0.6488
2016-12-31,0.4489,1.781,31.2356,20.1488,0.0366,7.3958,9.164,0.8145,3.6897,26.4802,-0.9633,-0.9633
2015-12-31,0.4803,1.9757,27.8019,18.078,0.0372,6.802,8.8605,0.742,3.2276,24.6791,-0.3821,-0.3821
2014-12-31,0.4997,2.2581,9.523,5.3529,0.0397,2.4625,3.3343,0.2623,1.1344,23.1512,-5.1677,-5.1677
2013-12-31,0.5176,2.4808,18.9399,11.8076,0.0406,5.2117,7.5098,0.5437,2.3698,21.9684,9.5582,9.5577
2012-12-31,0.5377,2.8409,4.087,3.6719,0.034,1.9194,2.7116,0.1895,0.8171,21.9846,-7.7658,-7.6378
2011-12-31,0.618,2.9697,-0.2873,0.1062,0.0376,0.683,1.0,0.0679,0.2401,21.8396,-2.146,-2.1727
2010-12-31,0.6627,3.6177,-1.6177,-4.4006,0.0361,-1.0572,-1.731,-0.0988,-0.3307,22.6321,-8.3552,-8.1662
2009-12-31,0.6545,3.5804,6.1345,-3.101,0.0319,3.2311,5.5378,0.2814,0.9368,26.7558,16.7859,16.4961
