Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,1.414,0.1669,0.2034,27.6042,18.7955,18.9884,24.7996,18.7955,13.4742,1.1209,12.2565,28.4369,28.4369,15.6007,23.6911,49.6014,7.005,5.9573
2021-12-31,1.0443,0.1982,0.2715,22.4765,10.9347,11.2663,18.4806,10.9347,8.0661,0.8428,11.7912,13.4322,13.4322,6.9626,10.7699,41.4444,7.824,9.5545
2020-12-31,0.7965,0.2233,0.4121,17.0478,-15.9133,-15.2753,10.0737,-15.9133,-12.3635,0.5455,7.9873,-14.1662,-14.1662,-6.9875,-11.0032,38.7739,-3.525,-1.6322
2019-12-31,0.7822,0.1169,0.2359,20.3014,7.5701,7.8834,15.0541,7.5701,5.4126,0.7307,11.3964,7.4264,7.4264,4.0745,6.5581,46.9969,-1.4749,-2.596
2018-12-31,0.8396,0.0938,0.1904,22.2923,10.6657,10.9296,17.3887,10.6657,7.181,0.8383,11.8956,10.7899,10.7899,6.1875,9.7783,46.8558,1.3698,0.4046
2017-12-31,0.8159,0.1115,0.2177,21.8331,7.6419,7.8879,16.0286,7.6419,8.0659,0.7008,11.2412,10.2046,10.2046,5.6921,9.0669,45.8835,1.7778,2.0285
2016-12-31,0.8694,0.1427,0.246,21.3705,3.8292,4.0468,14.766,3.8292,3.7672,0.63,10.8514,4.8179,4.8179,2.5355,4.1305,41.9069,-1.945,0.4985
2015-12-31,0.7897,0.1013,0.2188,21.404,8.8129,8.9377,16.1787,8.8129,6.4795,0.7401,12.059,9.3609,9.3609,4.9148,8.4128,42.5433,-3.3046,-1.9222
2014-12-31,0.8186,0.0605,0.1608,20.2651,12.5334,12.6028,16.8018,12.5334,7.8944,1.1787,19.6942,18.5653,18.5653,9.6182,17.4427,43.1002,0.3724,0.296
2013-12-31,0.8269,0.0368,0.1258,20.4801,13.1684,13.1704,17.091,13.1684,7.434,1.2637,21.599,18.5313,18.5313,9.6445,17.8498,41.6367,-1.9732,-2.1872
2012-12-31,1.005,0.0441,0.0675,23.0211,16.378,16.446,19.7514,16.378,9.3368,1.44,25.4451,27.7764,27.7764,14.2845,26.5502,38.1297,0.7842,-0.2671
2011-12-31,0.9414,0.0548,0.106,21.8225,15.0602,15.1109,18.3145,15.0602,8.4411,1.4693,25.3114,26.2567,26.2567,12.7491,24.8174,33.9552,1.4665,0.6
2010-12-31,0.9417,0.0741,0.0983,22.1295,13.8194,13.887,17.7386,13.8194,7.9484,1.2668,22.9975,20.5647,20.5647,10.3792,19.0399,30.6646,4.0204,3.1723
2009-12-31,1.061,0.0582,0.0832,20.6056,11.1972,11.3737,15.2106,11.1972,6.2076,1.3311,21.3441,17.0358,17.0358,8.4252,16.0446,24.4113,5.8659,1.2267
