Date,current-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,2.6769,100.0,45.5069,45.5069,54.8559,47.0956,34.8356,0.4468,1.2947,281.9108,23.1455,30.2116,15.5634,23.1455,28.7158,0.279,0.2296
2021-12-31,2.7258,100.0,48.2487,48.2487,56.8682,47.7749,36.8964,0.4567,1.4801,246.6022,24.7658,33.4857,16.8505,24.7658,27.4614,-3.1998,-3.3322
2020-12-31,3.2804,100.0,54.3774,54.3774,60.5937,54.3238,43.4431,0.5176,1.9169,190.4075,31.3464,42.0285,22.4854,31.3464,25.1299,3.5979,3.3159
2019-12-31,6.8383,100.0,49.0625,49.0625,55.4479,50.3418,40.0706,0.5355,8.2454,44.2674,26.6075,36.4436,21.4573,26.6075,20.2997,1.0913,1.4343
2018-12-31,6.4616,100.0,48.8065,48.8065,54.1054,50.0697,39.6846,0.6262,7.5704,48.2139,28.4353,31.7042,24.8515,28.4353,16.1498,1.4975,0.9122
2017-12-31,7.1902,100.0,50.7381,50.7381,55.6372,51.2854,37.6413,0.6769,7.4744,48.8334,28.7681,32.7842,25.4785,28.7681,13.683,2.0394,1.8578
2016-12-31,7.0788,100.0,51.6643,51.6643,56.5151,52.104,34.311,0.6964,7.2576,50.2918,26.9591,31.1867,23.8943,26.9591,12.4657,-0.9299,-1.0114
2015-12-31,6.9271,100.0,48.7961,48.7961,54.9136,48.7961,31.6851,0.6904,7.4915,48.722,24.5799,29.4077,21.8743,24.5799,10.4444,0.4061,0.3876
2014-12-31,6.0055,100.0,45.1095,45.1095,51.7232,45.1095,28.4678,0.6917,7.7661,46.9991,22.3831,27.9347,19.6918,22.3831,8.9554,0.5034,0.7276
2013-12-31,5.6313,100.0,44.9372,44.9372,50.404,44.9372,31.8414,0.6746,6.9891,52.2243,22.0913,28.3711,19.373,22.0913,8.2261,0.2413,-0.0993
2012-12-31,5.906,100.0,46.8298,46.8298,51.1439,46.8298,31.4761,0.682,6.1474,59.3747,25.4552,29.4795,22.0783,25.4552,6.4885,0.5041,0.4127
2011-12-31,7.8977,100.0,47.3894,47.3894,51.3347,47.3894,27.7552,0.4918,4.7518,76.8124,15.8261,17.7934,14.1496,15.8261,8.0588,0.0106,0.0101
2010-12-31,6.6557,100.0,34.8155,34.8155,39.158,34.8155,19.4402,0.4882,5.6938,64.1049,13.4035,13.7373,10.4928,11.869,7.851,0.5049,0.5014
2009-12-31,6.6448,100.0,26.2577,26.2577,32.191,26.2577,14.0704,0.4127,4.9434,73.8363,7.4373,7.8216,5.807,6.5239,7.1797,1.1377,0.9592
