Date,current-ratio-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,4.7555,,50.3017,25.1103,25.1103,26.0806,24.9081,18.8816,0.761,3.3523,6.2104,58.7722,16.9625,27.1645,14.3689,16.9625,13.4502,-0.4929,-0.765
2021-12-31,4.8515,,56.0967,32.4373,32.4373,33.3424,32.5087,24.8581,0.71,4.1001,6.18,59.0614,20.9759,33.0891,17.6491,20.9759,12.4063,-0.3931,-0.3832
2020-12-31,4.188,,59.2323,35.5138,35.5138,36.754,35.3617,30.6524,0.7414,5.6285,6.9047,52.8623,27.3132,50.8847,22.7254,27.3132,9.7726,0.5132,0.6076
2019-12-31,3.5037,,59.9546,33.3968,33.3968,34.8424,33.7068,26.3719,0.8156,4.6634,7.7745,46.9481,26.5586,61.9756,21.5099,26.5586,7.7721,-0.0215,-0.1031
2018-12-31,3.0012,,60.2906,33.7157,33.7157,35.2123,33.9693,26.0824,0.841,5.4439,7.857,46.4556,27.5002,80.5108,21.9357,27.5002,6.6416,0.3477,0.3877
2017-12-31,3.7233,,63.4509,35.5824,35.5824,37.0335,35.6666,24.3594,0.7032,4.8148,7.4955,48.6959,21.0689,53.6572,17.1295,21.0689,6.8784,0.5421,1.7129
2016-12-31,3.0436,,63.6848,35.5919,35.5919,36.9314,35.4066,23.3714,0.7342,6.837,5.3213,68.5919,21.4038,73.8204,17.1588,21.4038,5.877,0.2646,-0.9883
2015-12-31,8.7734,,59.9546,32.824,32.824,33.9574,32.7466,20.0816,0.4887,6.9834,5.6963,64.0769,11.368,17.6268,9.8134,11.368,7.9011,-0.238,-0.2464
2014-12-31,4.6474,,54.3563,30.3264,30.3264,31.367,30.2567,19.6029,1.2713,6.4446,8.7794,41.5745,31.8903,32.9954,24.9209,31.8902,3.0112,0.4851,0.4946
2013-12-31,3.7436,,52.2132,25.5034,25.5034,26.5167,25.1018,15.0755,1.5814,4.8476,7.5847,48.1234,34.1296,36.5525,23.8408,34.1296,1.9827,0.1338,0.1504
2012-12-31,2.8941,,51.7133,26.7202,26.7202,27.718,26.6489,16.5002,1.9751,4.8991,8.7056,41.9271,52.7656,57.655,32.59,52.7656,1.2957,-0.0723,-0.1053
2011-12-31,4.4447,,52.5067,26.7975,26.7975,27.8005,26.8472,16.8045,1.2502,5.1983,7.7865,46.8759,29.2311,30.751,21.0085,29.2311,1.8728,0.1857,0.1633
2010-12-31,4.9727,,52.168,26.674,26.674,27.5771,26.7882,16.2606,1.1369,4.0701,7.8336,46.5939,25.5951,27.0072,18.4863,25.5951,1.5517,0.1353,0.153
2009-12-31,6.9928,0.0004,53.5569,29.5031,29.5031,30.0198,29.362,18.2556,1.429,4.91,10.4981,34.7681,35.6808,37.8492,26.0872,35.6808,1.1059,0.2751,0.2351
