Date,long-term-debt-capital-annual,debt-equity-ratio-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,0.4033,0.6758,50.8437,50.8437,72.0803,99.4575,99.0466,0.2383,75.0632,43.9516,24.8758,25.6273,58.0078,3.1953,1.9539
2021-12-31,0.4441,0.799,49.1988,49.1988,70.0848,46.9016,50.7182,0.1965,37.2889,21.6477,11.2747,11.6433,53.4179,2.7899,1.7026
2020-12-31,0.2288,0.2967,48.4088,48.4088,67.388,47.2438,37.6779,0.2467,28.4514,16.2588,11.5197,12.2392,49.1282,-0.1492,0.4972
2019-12-31,0.1732,0.2095,51.3778,51.3778,69.3427,50.7138,44.5786,0.2512,30.4238,17.1929,13.4236,13.8921,52.0566,0.0071,0.0624
2018-12-31,0.1338,0.1544,51.2437,51.2437,68.7702,50.9542,53.955,0.2525,33.5413,19.2193,15.7136,16.2662,52.5164,0.5112,0.3807
2017-12-31,0.1377,0.1597,53.3306,53.3306,70.3634,53.5585,43.9047,0.2486,29.3249,16.555,13.4956,13.9333,51.5629,0.1407,-0.4679
2016-12-31,0.0397,0.0414,53.6797,53.6797,70.6024,54.1065,46.2354,0.2528,28.7819,15.8246,14.4165,14.8533,54.485,1.1119,0.7862
2015-12-31,0.0335,0.0347,51.7282,51.7282,69.615,52.3972,44.2143,0.2436,25.6228,14.6635,13.4757,13.8461,53.1898,0.8144,0.4047
2014-12-31,0.0067,0.0068,48.4729,48.4729,68.5489,49.0854,41.7112,0.2218,22.1906,12.3937,11.7119,12.0143,55.1313,0.9788,0.6196
2013-12-31,0.0155,0.0951,48.4036,48.4036,68.1193,50.0203,42.9901,0.199,20.1191,12.337,10.7078,11.8056,51.3393,0.7934,0.3243
2012-12-31,0.0546,0.0577,47.3259,47.3259,66.7616,47.5277,36.347,0.2095,17.5988,11.7541,10.5779,10.8263,47.3945,0.4414,0.5053
2011-12-31,0.0457,0.0479,43.9437,43.9437,64.5974,45.0332,32.3608,0.1943,16.023,10.2843,9.327,9.5662,48.8192,0.6087,0.6431
2010-12-31,0.0613,0.0653,42.9209,42.9209,64.8809,42.8973,24.7356,0.17,12.9563,8.1057,7.2494,7.4197,51.4551,-0.1547,-0.2565
2009-12-31,0.0542,0.0573,44.7852,44.7852,65.8662,42.9419,36.1057,0.1655,14.0836,9.0112,8.1316,8.3229,53.8068,6.594,6.1406
