Date,long-term-debt-capital-annual,debt-equity-ratio-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,0.2479,1.162,37.4935,26.0487,0.0274,12.7204,10.1939,0.7597,7.4267,275.3836,15.1401,13.5227
2021-12-31,0.134,0.159,47.0142,30.5488,0.0274,15.9917,12.8966,0.981,10.8087,282.716,5.8713,5.5466
2020-12-31,0.091,0.1026,46.1213,31.533,0.0327,15.9891,15.7249,1.1202,13.9485,162.5231,4.8586,4.4307
2019-12-31,0.0499,0.0552,50.1401,35.4095,0.0452,18.8666,18.4182,1.6689,17.0037,128.1764,4.89,4.5005
2018-12-31,0.1168,0.2522,53.4243,38.1733,0.0448,19.2095,19.2095,1.7765,16.9652,100.1187,5.2266,5.3281
2017-12-31,0.1387,0.4003,46.3928,26.0175,0.0368,12.0196,12.0196,1.0137,10.3527,81.7529,3.1231,3.187
2016-12-31,0.174,0.3464,42.6953,25.5056,0.0336,10.3326,10.3326,0.8734,8.5346,72.2823,2.4782,2.4984
2015-12-31,0.1929,0.4715,43.6255,24.8569,0.031,11.2449,11.245,0.8388,9.0757,64.585,1.3935,1.2093
2014-12-31,0.1002,0.1133,48.3565,19.2698,0.0348,11.8137,11.8137,1.2168,10.6296,79.5628,1.4012,1.1999
2013-12-31,0.1288,0.1495,52.9219,16.4147,0.0495,17.6916,17.6916,2.0622,15.4131,67.2342,-0.642,-0.5298
2012-12-31,0.1494,0.2395,39.9395,19.2616,0.0399,9.5889,9.5889,1.0973,8.1558,58.378,0.5678,0.5096
2011-12-31,0.2115,0.2682,44.5292,19.0471,0.0452,12.5664,12.5664,1.4162,9.9085,51.7236,-0.0295,-0.0997
2010-12-31,0.4089,0.713,31.9174,15.2891,0.0354,7.8258,7.8258,0.7806,4.626,41.3617,1.2986,1.1286
2009-12-31,0.3675,0.6074,11.7643,5.8181,0.0303,0.7218,0.7218,0.0829,0.4565,35.6599,2.544,2.0771
