Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2021-12-31,2.8637,0.2398,0.3831,48.3415,8.4511,8.4511,26.5715,8.6558,8.2156,0.3276,10.9691,33.2752,3.5007,4.0969,1.9971,2.6612,98.4598,-1.7883,-4.3885
2020-12-31,2.6809,0.2422,0.4002,48.4826,13.3943,13.3943,34.607,21.5661,20.9872,0.3218,11.4038,32.007,10.0809,12.0396,5.7188,7.6389,86.3744,-0.9522,-0.5676
2019-12-31,2.8851,0.2531,0.3888,41.4868,5.8721,5.8721,23.7151,-0.3176,1.9185,0.3565,11.9235,30.6118,-1.3299,-1.5687,-0.7579,-0.9933,71.3156,-3.1546,-2.1525
2018-12-31,2.7279,0.2388,0.3708,49.4084,15.1855,15.1855,31.0164,26.7142,26.9562,0.3437,15.0415,24.2663,12.8992,15.3257,7.588,9.8194,72.8756,0.4133,-1.1289
2017-12-31,1.8424,0.2308,0.365,49.2174,18.4901,18.4901,32.3462,25.0882,21.5743,0.3369,17.8793,20.4147,15.3184,18.6401,7.263,11.783,52.6881,5.2362,4.8543
2016-12-31,2.1639,0.272,0.4798,49.994,14.244,14.244,26.0479,20.566,16.4881,0.3876,15.8363,23.0484,12.5697,15.8766,6.3713,9.1505,38.2608,0.6654,1.2404
2015-12-31,2.9971,0.2972,0.4369,58.6362,17.5825,17.5825,26.4116,57.104,50.713,0.449,11.3129,32.2642,40.405,52.7031,21.9354,28.395,35.8061,0.3449,0.2491
2014-12-31,3.2481,0.3093,0.4918,61.4994,26.1023,26.1023,34.2004,29.5084,26.8837,0.4922,13.3858,27.2677,23.2715,38.723,12.285,16.0741,24.1535,1.7102,0.8039
2013-12-31,3.9001,0.2981,0.4343,64.0876,35.0355,35.0355,43.3375,38.145,32.9295,0.45,14.383,25.3772,25.4667,51.3425,14.589,17.8752,19.176,0.9985,0.7724
2012-12-31,4.2098,0.2711,0.4561,71.0906,49.5441,49.5441,56.3375,53.6422,46.8754,0.4884,17.7952,20.5111,39.6889,50.1592,22.7535,28.9293,12.0189,1.8822,1.5909
2011-12-31,3.5965,0.1239,0.1544,73.1262,52.2508,52.2508,58.3533,53.8534,45.6545,0.6213,24.1862,15.0913,41.6923,52.4479,29.1615,36.5282,,1.5828,1.192
2010-12-31,3.4416,0.0101,0.0102,72.8452,50.0175,50.0175,55.7259,51.3091,44.537,0.7164,26.6598,13.691,43.0437,43.9828,32.7474,42.6081,,1.0789,0.8635
2009-12-31,3.46,,,63.6618,36.085,36.085,43.2121,37.8407,33.3886,0.7219,27.5053,13.2702,31.2284,32.5014,24.1079,31.2285,,0.9607,0.7876
