Date,long-term-debt-capital-annual,debt-equity-ratio-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,0.3677,1.2816,36.2011,27.651,0.037,13.3437,19.4669,1.097,8.4375,114.2444,5.1118,5.1118
2021-12-31,0.3558,0.5524,34.9575,27.0585,0.0359,10.2735,13.3164,1.0275,6.6177,132.681,6.0233,6.0233
2020-12-31,0.384,0.6883,24.9818,19.7873,0.0294,5.5569,6.893,0.6435,3.4228,127.4552,-5.5243,-5.5243
2019-12-31,0.4709,1.2213,34.184,26.665,0.0392,9.3043,11.9352,1.119,4.9225,113.6936,-0.2456,-0.2456
2018-12-31,0.3929,1.0972,34.7611,32.0682,0.0413,9.5416,12.4641,1.1922,5.7929,104.5295,5.2015,5.2015
2017-12-31,0.4114,1.1411,34.5544,31.8039,0.0417,11.3229,14.7294,1.415,6.6644,100.6025,4.4794,4.4794
2016-12-31,0.398,1.0358,35.6643,24.8625,0.0402,8.5051,11.0716,1.0877,5.1198,96.6062,-3.6046,-3.6046
2015-12-31,0.3937,1.0866,36.7869,25.8116,0.0418,9.0104,11.7405,1.1557,5.4632,91.2302,0.2042,0.2042
2014-12-31,0.3802,1.2321,37.1739,26.0628,0.0438,9.9862,11.9765,1.2192,5.6597,88.0956,-0.0413,-0.0413
2013-12-31,0.3519,1.047,37.0096,25.597,0.048,10.5048,12.8623,1.3155,6.1992,82.621,-2.4298,-2.4298
2012-12-31,0.3204,0.9795,27.8072,19.3184,0.0476,7.8428,9.6906,0.9813,4.8719,79.1004,1.4019,1.4019
2011-12-31,0.3764,0.9854,30.8866,22.757,0.0486,8.6242,11.3313,1.1324,5.1416,70.6755,2.2158,2.2158
2010-12-31,0.4715,1.2025,32.042,23.7573,0.048,9.3939,13.6926,1.1442,4.8665,62.4297,-3.3924,-3.3924
2009-12-31,0.4293,1.2055,26.2238,16.2872,0.0456,9.5881,11.9951,0.8738,4.1318,70.4913,12.6462,12.6462
