Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-01-31,1.343,0.3069,0.4427,29.3957,6.8819,6.8819,9.636,6.2011,5.045,1.2117,4.2552,17.2041,50.4119,6.1132,11.9249,34.2892,-5.1956,-5.9127
2021-01-31,1.354,0.3069,0.4428,30.5312,7.4008,7.4008,10.1081,6.8203,5.2604,1.2326,5.171,18.4193,60.9705,6.4839,12.766,31.2161,3.6003,4.2014
2020-01-31,1.2038,0.3603,0.6031,29.8198,5.3459,5.3459,9.4342,4.6534,3.5026,1.2062,4.7047,13.2218,70.5933,4.2249,8.4586,26.422,0.4231,-0.4943
2019-01-31,2.0486,0.4305,0.7559,30.4404,-4.1164,-4.1164,10.8039,-5.7354,-6.9701,1.6905,4.4898,-28.1912,3751.939,-11.7827,-16.0554,23.7015,1.0699,0.2953
2018-01-31,1.6006,0.3987,0.7906,31.5655,8.9865,8.9865,11.8033,7.66,7.7063,1.362,4.8035,23.8684,-130.0485,10.4961,14.3523,30.2634,-0.7129,-0.9828
2017-01-31,1.87,0.5337,1.173,30.8637,8.2281,8.2281,11.5714,6.4163,4.3255,1.3196,4.9984,16.6286,-27.939,5.7077,7.7531,22.8237,3.4757,3.2348
2016-01-31,1.8784,0.6216,1.667,30.0463,6.773,6.773,10.3366,2.8919,1.8221,0.9747,3.7573,6.4081,-6.5828,1.776,2.425,18.7553,-0.964,-1.5464
2015-01-31,2.315,0.2767,0.3825,35.2701,12.0923,12.0923,14.4858,11.0925,6.9657,2.4629,5.3763,33.5686,37.0128,17.1558,24.2817,8.6784,0.9302,0.8753
2014-01-31,2.0086,0.3927,0.6576,35.5828,12.3758,12.3758,14.8056,12.1717,7.6107,2.8285,4.8783,50.9695,59.5866,21.5268,30.954,5.6248,0.6842,0.5315
2013-01-31,2.1791,0.1336,0.1627,35.874,12.443,12.443,14.8137,13.2382,8.3751,2.687,4.8799,37.1439,41.4525,22.5036,32.1831,7.4239,0.1081,-0.2177
2012-01-31,2.0816,0.1568,0.1975,35.8691,11.7955,11.7955,14.2674,11.7563,7.3645,2.8474,4.9022,36.3156,41.6816,20.9697,30.6221,5.8166,0.8059,0.4722
2011-01-31,2.5024,0.1463,0.1827,35.4889,10.7099,10.7099,13.4248,10.7082,6.754,2.4711,4.7252,27.231,30.8967,16.6898,23.2475,5.912,-0.1257,-0.2134
2010-01-31,2.7434,0.1489,0.1872,35.4947,9.8027,9.8027,12.8192,9.7033,6.1267,2.2847,4.9638,22.4251,24.7319,13.9975,19.0865,5.4432,0.671,0.543
2009-01-31,2.6182,0.1663,0.2135,34.2785,7.8753,7.8753,11.3565,7.7311,4.9409,2.2817,4.5172,18.3131,20.4929,11.2738,15.2674,4.6021,1.4809,0.9985
