Date,current-ratio-annual,long-term-debt-capital-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-07-31,1.3904,0.2807,0.4205,81.0938,20.2027,20.2027,26.0648,19.9749,16.2345,0.4589,23.6104,15.4593,12.5662,-47.4288,7.4493,9.0392,58.3155,1.7889,1.4404
2021-07-31,1.9424,0.1709,0.2061,82.5288,25.9525,25.9525,29.7208,26.5338,21.4056,0.6208,18.7413,19.4758,20.8937,205.3785,13.2895,17.3234,36.1191,2.7609,2.8219
2020-07-31,2.2613,0.2846,0.6598,82.055,28.337,28.337,31.1759,28.6235,23.7791,0.7025,47.6957,7.6527,35.7619,53.3294,16.7048,25.585,19.5079,0.3409,0.4091
2019-07-31,1.8281,0.0933,0.1163,82.7978,27.329,27.329,30.6456,27.727,22.9511,1.0797,44.6316,8.1781,41.5311,76.3235,24.7812,37.6542,14.4093,0.711,0.599
2018-07-31,1.3896,0.1211,0.1555,83.7676,25.8921,25.8921,30.0913,25.9917,22.0581,1.1735,43.9781,8.2996,47.1946,116.1713,25.8863,41.4794,10.8887,1.9656,2.3717
2017-07-31,0.7279,0.2444,0.3604,84.4111,27.2902,27.2902,31.8322,26.7514,18.9569,1.2773,31.3012,11.6609,72.7474,2662.162,24.2134,54.9665,5.2959,0.617,1.7056
2016-07-31,0.717,0.2959,0.8613,83.9796,26.4593,26.4593,31.5296,25.6285,20.8564,1.1045,36.6719,9.9531,69.4229,-488.4849,18.9647,48.8781,4.5026,-0.0465,-1.1038
2015-07-31,1.4679,0.1766,0.2144,82.7052,17.605,17.605,30.2004,16.9847,8.7071,0.8438,23.9543,15.2374,17.7101,42.1859,8.3132,14.5833,8.3974,0.5868,0.3135
2014-07-31,1.8445,0.1395,0.1621,85.3641,30.6387,30.6387,35.2816,30.6387,21.3764,0.8158,28.2867,12.9036,27.7128,52.5894,16.4007,23.8468,10.8019,0.4608,0.4652
2013-07-31,1.8719,0.1238,0.1413,86.3153,30.6133,30.6133,37.6584,30.0304,21.7435,0.7193,20.5521,17.7598,22.8547,37.7809,14.7102,20.0248,11.7895,0.4231,0.3893
2012-07-31,1.204,0.1539,0.1819,84.6376,30.6723,30.6723,37.0273,29.8845,20.7983,0.813,19.5282,18.6909,27.8426,61.0711,16.3108,23.5584,9.2926,0.8896,0.9517
2011-07-31,1.2488,0.1602,0.3819,85.793,31.3714,31.3714,39.2288,30.2117,18.3821,0.675,14.1934,25.7162,26.2997,125.0909,13.4638,22.0867,8.7027,0.1248,-0.1471
2010-07-31,1.8796,0.2613,0.3538,82.633,26.5648,26.5648,34.0876,25.1543,16.8675,0.6547,21.0062,17.3758,19.9929,86.636,10.8503,14.7683,8.9881,0.6102,0.7617
2009-07-31,1.8155,0.2807,0.3903,81.4088,21.9685,21.9685,30.8138,21.0035,14.3776,0.6442,15.3911,23.715,17.4814,87.3047,9.2623,12.5738,7.9221,2.4606,1.9091
