Date,long-term-debt-capital-annual,debt-equity-ratio-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2021-12-31,0.1005,0.3445,36.7437,27.7186,0.0275,12.0506,9.4284,0.8162,8.3621,88.5816,3.6195,3.3808
2020-12-31,0.1312,1.1513,35.4787,26.7287,0.0264,10.4252,9.2337,0.7467,7.8669,67.4864,-2.4541,-2.3272
2019-12-31,0.1146,1.4491,34.5532,26.868,0.0282,10.6822,9.6715,0.7999,8.3583,58.4216,-1.1862,-1.366
2018-12-31,0.1617,1.207,35.4306,26.8187,0.0299,11.0345,10.16,0.8607,8.2482,52.6239,0.475,0.6935
2017-12-31,0.1762,1.2882,35.7482,27.4173,0.0291,11.0959,10.1537,0.8631,7.9837,48.3519,0.7025,0.2385
2016-12-31,0.1051,0.9859,38.23,27.94,0.0295,11.673,10.3118,0.919,8.7232,44.7765,1.2214,1.0208
2015-12-31,0.4369,0.7934,38.6652,25.932,0.0303,11.0714,9.7723,0.8853,5.1532,39.0506,0.6366,0.5738
2014-12-31,0.5443,1.1944,42.0615,27.0904,0.0329,12.5228,10.7914,1.0072,4.6444,34.5592,-0.4613,-0.3152
2013-12-31,0.0103,1.2483,46.3523,29.4364,0.034,14.1283,11.8754,1.0972,10.9934,31.3332,0.8603,0.825
2012-12-31,0.4853,0.9651,47.0421,28.8834,0.0372,13.8835,12.9201,1.171,6.0955,25.901,2.7717,2.7095
2011-12-31,0.0473,0.8975,49.91,31.3246,0.0407,13.8339,14.8432,1.2917,13.1789,20.0586,-1.0289,-1.1806
2010-12-31,0.0405,0.3119,48.6254,28.0799,0.0432,12.4059,13.6552,1.2334,11.9038,17.2652,1.5324,1.336
2009-12-31,0.0451,0.8399,59.2126,33.8831,0.0513,25.178,25.6286,1.7625,24.043,,0.0,0.0
