Date,long-term-debt-capital-annual,debt-equity-ratio-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,0.7335,3.1164,21.9613,21.9613,53.7284,16.0646,16.4857,0.1594,13.6737,-9.1558,2.5251,3.6438,26.6495,-2.6456,-3.6574
2021-12-31,0.8101,4.7691,33.4726,33.4726,58.8282,30.2387,27.4418,0.1339,28.31,-10.2672,3.6739,5.3766,19.8994,1.9324,1.208
2020-12-31,0.8618,6.4109,35.9075,35.9075,59.7239,22.6463,21.0234,0.1702,37.0261,-10.218,3.5811,5.1155,10.2816,0.2777,0.1901
2019-12-31,0.7937,4.3814,35.4656,35.4656,59.2681,25.2813,24.904,0.1771,34.9082,-14.7359,4.4779,7.2005,12.3968,-0.0389,-0.2025
2018-12-31,0.7573,3.5867,25.6045,25.6045,54.2721,15.5186,16.4917,0.2254,21.4371,-11.7356,3.8312,5.2035,13.376,1.6848,1.4848
2017-12-31,0.74,2.9591,29.9884,29.9884,56.0378,18.8493,17.2797,0.2006,17.9464,-11.5674,3.6894,4.6667,15.923,0.4836,0.2119
2016-12-31,0.7239,2.6567,32.0272,32.0272,58.7016,19.4601,14.6793,0.1874,13.9104,-10.3575,3.1426,3.84,16.3338,1.171,1.3041
2015-12-31,0.7177,2.5502,33.8007,33.8007,60.8823,17.395,12.4678,0.1774,10.0107,-9.3115,2.4977,2.8257,15.8364,-0.2128,0.4998
2014-12-31,0.7709,3.5872,36.266,36.266,60.6299,21.1145,19.5369,0.1928,19.816,-11.8064,3.7773,4.5388,10.2177,1.3291,0.7088
2013-12-31,0.8005,4.0329,36.1249,36.1249,60.1548,16.1167,16.4019,0.1657,13.4318,-7.0551,2.3773,2.6792,9.0918,0.4639,0.0714
2012-12-31,0.7023,2.3759,38.9337,38.9337,61.7215,24.3847,22.159,0.2041,16.1237,-25.1221,4.2161,4.7992,9.3249,0.6289,0.5131
2011-12-31,0.6766,2.122,37.6558,37.6558,60.9258,20.7444,16.225,0.1996,11.1972,-21.6807,3.119,3.6212,8.6631,0.3867,-0.0623
2010-12-31,0.6113,1.5943,39.5086,39.5086,63.1889,28.0066,18.7845,0.1914,10.6597,-41.8238,3.6024,4.143,8.7905,0.4573,0.2144
2009-12-31,0.5552,1.2693,38.9915,38.9915,63.6104,24.4466,14.3027,0.2024,7.2013,-45.3379,2.8046,3.2034,8.2623,2.0694,1.4544
