Date,long-term-debt-capital-annual,debt-equity-ratio-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,0.5737,3.4275,26.6415,21.029,0.0292,8.294,8.5331,0.6275,3.2031,104.2021,-10.2152,-11.1331
2021-12-31,0.5566,3.1339,36.6317,29.2744,0.0327,11.9874,12.4481,0.9609,4.8175,102.1349,34.1676,33.8683
2020-12-31,0.5757,3.3404,22.8805,18.5418,0.0264,6.146,6.4095,0.4914,2.3537,96.1534,-5.4827,-4.8434
2019-12-31,0.5619,2.9907,35.7537,27.1822,0.0343,11.0652,11.6594,0.9979,4.3982,91.7383,-20.5279,-21.3565
2018-12-31,0.5407,2.9756,35.7939,25.4519,0.0342,10.1269,10.652,0.9434,4.2156,83.2074,18.0719,17.7491
2017-12-31,0.54,2.7897,35.0487,-12.3928,0.0352,-3.6328,-3.8027,-0.3597,-1.5117,78.4744,-21.8564,-22.2389
2016-12-31,0.4769,2.2895,33.5327,21.2965,0.0357,7.2662,7.5999,0.8389,3.4773,81.5696,5.3932,5.5414
2015-12-31,0.4743,2.1801,35.8519,23.4656,0.04,8.4245,8.9049,1.0043,4.0969,75.5404,-2.0477,-2.0094
2014-12-31,0.5131,2.8054,20.8848,9.5012,0.0382,3.7291,4.13,0.4073,1.7259,70.0072,-5.5335,-5.5313
2013-12-31,0.5175,2.8736,28.6487,19.4806,0.0368,6.8287,7.8546,0.7241,3.1869,68.0477,24.2292,24.1513
2012-12-31,0.5563,3.2371,13.3232,12.7954,0.0315,4.1489,4.958,0.4193,1.8162,63.0585,-25.0432,-25.1687
2011-12-31,0.6431,3.9115,22.3078,16.7301,0.0352,6.2183,7.6881,0.5949,2.2158,61.416,9.5826,8.7877
2010-12-31,0.6969,4.6962,21.4699,17.2505,0.0321,6.6178,8.5837,0.5722,2.0021,57.0538,57.1604,53.9084
2009-12-31,0.7014,4.6762,-18.7815,-3.8676,0.0224,-0.6892,-0.9323,-0.0574,-0.2054,54.4084,-45.136,-41.7977
