Date,current-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,3.679,100.0,36.5837,36.5837,46.5369,30.0259,23.4542,0.5573,8.6662,42.1176,16.0528,25.1772,12.4501,16.0528,40.2577,-4.6981,-4.6994
2021-12-31,3.3713,100.0,48.3583,48.3583,51.0278,52.0679,39.135,0.6133,7.2493,50.3499,33.42,54.6974,24.7702,33.42,40.4556,6.7877,6.6709
2020-12-31,7.4201,100.0,44.2377,44.2377,47.2924,52.2371,37.176,0.5823,7.1912,50.7567,32.7404,35.8357,23.673,32.7404,33.8078,1.9179,1.8472
2019-12-31,6.7757,100.0,42.4892,42.4892,45.8855,52.1067,36.9533,0.6021,8.6884,42.0102,31.6653,34.9403,24.1029,31.6653,30.1942,-0.1792,-0.3542
2018-12-31,4.864,100.0,43.9527,43.9527,46.9214,44.3845,34.2013,0.6987,9.7755,37.3383,28.88,32.4021,23.0021,28.88,25.7249,5.6246,5.7014
2017-12-31,6.2799,100.0,43.4365,43.4365,46.3944,51.5994,30.153,0.6443,8.5882,42.5003,27.1479,30.6511,20.9836,27.1479,23.7623,0.2552,0.0884
2016-12-31,5.3086,100.0,40.4546,40.4546,43.568,45.7548,27.7609,0.6883,9.4151,38.7676,25.0369,28.8747,20.1446,25.0369,20.4613,-5.185,-5.1976
2015-12-31,5.8634,100.0,45.2055,45.2055,48.2122,47.6694,28.7316,0.8225,9.4184,38.754,25.6825,29.8562,23.948,25.6825,19.0123,0.8404,0.7324
2014-12-31,7.8206,100.0,47.485,47.485,50.2901,50.3026,30.5216,0.7055,8.993,40.5871,22.7906,25.9985,21.7844,22.7906,20.6626,0.3949,0.3203
2013-12-31,8.3572,100.0,46.995,46.995,49.5953,48.8032,29.8031,0.6923,8.7367,41.7777,21.7451,25.2312,20.8162,21.7451,18.3846,1.1719,1.0692
2012-12-31,3.4567,100.0,45.1381,45.1381,47.8147,47.4806,29.0521,0.7192,8.5405,42.7373,22.9739,27.7827,21.0241,22.9739,14.9643,-0.143,-0.125
2011-12-31,3.4394,100.0,44.6616,44.6616,47.2972,45.5244,28.0186,0.7286,9.0217,40.4581,22.6036,28.0653,20.5077,22.6036,13.506,0.8378,0.9703
2010-12-31,3.2446,100.0,43.7859,43.7859,46.4473,45.2011,28.2781,0.65,7.6882,47.4753,20.3913,25.5512,18.4569,20.3913,12.7396,0.7223,0.7876
2009-12-31,3.0158,100.0,37.571,37.571,41.0892,36.8909,23.1391,0.5817,7.5849,48.122,15.0441,19.5624,13.5065,15.0441,11.1482,2.0419,1.5315
