Date,long-term-debt-capital-annual,debt-equity-ratio-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,0.5917,1.4493,48.9965,48.9965,77.1439,36.827,35.1326,0.1305,13.766,13.0408,4.8052,5.3244,37.299,0.3266,0.6204
2021-12-31,0.6074,1.5469,41.4965,41.4965,70.9298,28.2879,26.6453,0.1248,10.7497,10.1039,3.5302,3.9672,33.881,1.1936,2.3178
2020-12-31,0.6313,1.712,34.653,34.653,65.1771,16.2644,14.8013,0.1098,5.6887,5.3316,1.7862,1.9659,33.2184,-1.2795,-2.6148
2019-12-31,0.5653,1.3006,50.3224,50.3224,75.9434,38.5282,36.8478,0.1377,14.5607,13.6769,5.306,5.9448,34.8967,-0.8706,-1.3293
2018-12-31,0.5669,1.3088,39.5042,39.5042,66.185,27.203,25.4453,0.1455,10.7928,10.0929,3.9593,4.3715,33.2302,0.6967,2.857
2017-12-31,0.5787,1.3735,47.8464,47.8464,73.0462,34.7432,33.4186,0.1366,13.3483,12.4553,4.7464,5.2476,32.7197,0.3327,-0.6969
2016-12-31,0.5741,1.3481,40.0447,40.0447,64.1948,28.247,31.1093,0.1478,10.9604,10.9077,4.1751,4.6453,28.8326,0.6694,-1.3894
2015-12-31,0.5959,1.4744,40.3426,40.3426,63.8363,25.5499,28.075,0.1519,10.7281,10.6679,3.8822,4.3114,25.6419,0.2215,1.4739
2014-12-31,0.5874,1.4237,39.5046,39.5046,64.4013,24.4703,23.7565,0.1509,9.9781,9.9192,3.6924,4.0926,24.6707,0.3258,-0.5916
2013-12-31,0.6121,1.5781,39.8738,39.8738,65.1477,21.6204,25.2977,0.1511,9.4307,9.3666,3.2662,3.6331,22.0581,0.1719,-1.4384
2012-12-31,0.6276,1.6852,41.9059,41.9059,65.3527,23.6009,24.85,0.1554,10.9928,10.909,3.6673,4.0626,20.2205,0.7219,0.177
2011-12-31,0.6298,1.7011,41.0925,41.0925,64.0588,23.6469,25.8883,0.1503,10.5898,10.5045,3.5546,3.8889,19.5235,-0.2776,-1.1004
2010-12-31,0.613,1.5838,42.307,42.307,64.4217,23.2285,22.458,0.1715,11.3813,11.2793,3.9832,4.3654,18.1349,-0.1051,0.1483
2009-12-31,0.5974,1.4837,39.6408,39.6408,61.4153,19.1697,18.4958,0.164,8.4503,8.3805,3.1445,3.3742,19.7424,4.2916,2.5854
