Date,current-ratio-quarterly,gross-margin-quarterly,operating-margin-quarterly,ebit-margin-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,receiveable-turnover-quarterly,days-sales-in-receivables-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-10-31,3.239,75.4365,6.0358,6.0358,4.9686,4.3882,0.1406,1.869,48.1547,0.8401,0.8583,0.617,0.8401,19.6902,1.0216,0.9435
2022-07-31,3.4359,75.114,11.073,11.073,8.2221,4.1608,0.1366,2.1577,41.7104,0.7637,0.7797,0.5685,0.7637,20.0962,0.8343,0.7439
2022-04-30,3.6287,75.6173,17.4209,17.4209,13.3798,10.583,0.135,2.2192,40.5561,1.9109,1.9198,1.4285,1.9109,19.9043,1.716,1.6343
2022-01-31,3.9146,75.9798,23.5043,23.5043,12.9305,45.7797,0.1419,2.5529,35.2543,8.4886,8.5293,6.4974,8.4886,19.3288,0.6863,0.6183
2021-10-31,3.614,74.2131,27.6807,27.6807,39.0465,32.3835,0.1506,2.7807,32.3659,6.6563,6.6907,4.8773,6.6563,17.1636,1.2888,1.2243
2021-07-31,3.4601,74.4242,28.8404,28.8404,31.7069,31.0261,0.1569,2.5843,34.8254,6.8077,6.8462,4.8718,6.8077,15.6812,1.5276,1.4855
2021-04-30,3.4946,72.2878,23.6669,23.6669,23.9408,23.7789,0.1624,2.6102,34.4801,5.4268,5.4585,3.8639,5.4268,14.2363,1.7462,1.4873
2021-01-31,3.804,69.7124,29.0222,29.0222,29.9895,29.4973,0.1666,2.9945,30.0552,6.7502,6.793,4.919,6.7502,13.152,1.3532,1.2806
2020-10-31,1.856,66.7102,24.7353,24.7353,24.9642,25.5328,0.2548,2.7668,32.528,13.2435,13.462,6.5122,13.2435,5.2455,1.3594,1.2825
2020-07-31,1.7339,71.0226,28.3494,28.3494,28.663,27.9934,0.2528,2.2467,40.0586,15.5144,15.836,7.0855,15.5144,4.2161,1.3448,1.2507
2020-04-30,1.7248,68.3981,7.1259,7.1259,8.8903,8.2385,0.1587,1.2744,70.6228,3.0029,3.0029,1.3094,3.0029,3.1974,0.8773,0.8527
2020-01-31,3.2817,82.7108,5.6058,5.6058,7.7264,7.3434,0.1459,1.5631,57.5782,1.8393,1.8393,1.1892,1.8393,2.992,0.2033,0.1496
2019-10-31,3.2076,81.4848,-1.0078,-1.0078,1.5187,1.3248,0.1402,1.7395,51.7387,0.2862,0.2862,0.1861,0.2862,2.7967,0.2112,0.1868
2019-07-31,4.0003,80.8676,1.5532,1.5532,4.6336,3.786,0.1363,1.5241,59.0524,0.745,0.745,0.5179,0.745,2.7197,0.0198,-0.0013
2019-04-30,4.4559,80.2407,1.2764,1.2764,2.074,0.1623,0.1221,1.5463,58.2018,0.3076,0.3076,0.2216,0.3076,2.6428,0.163,0.1124
2019-01-31,1.8164,81.5454,5.1909,5.1909,5.7505,5.3847,0.2984,1.6632,54.1131,-76.5829,-76.5829,1.6068,-76.5829,-0.0824,0.1241,0.0423
2018-10-31,,81.3107,-1.1795,-1.1795,-0.5082,-0.6636,,,,,,,,,0.1606,0.0898
2018-07-31,,82.5927,4.5917,4.5917,5.3216,0.6655,,,,,,,,,0.1236,0.0788
2018-04-30,,80.5893,-2.8034,-2.8034,-2.0693,-2.2307,,,,,,,,,0.0342,-0.0135
2018-01-31,,,,,,,,,,,,,,,0.0,0.0
