Date,long-term-debt-capital-quarterly,debt-equity-ratio-quarterly,pre-tax-profit-margin-quarterly,net-profit-margin-quarterly,asset-turnover-quarterly,roe-quarterly,return-on-tangible-equity-quarterly,roa-quarterly,roi-quarterly,book-value-per-share-quarterly,operating-cash-flow-per-share-quarterly,free-cash-flow-per-share-quarterly
2022-09-30,0.4117,1.0936,41.998,31.3618,0.0098,4.4665,6.5973,0.3178,2.2954,24.3843,2.4631,2.2657
2022-06-30,0.3668,0.9888,39.4336,28.6492,0.0089,3.3345,4.581,0.2718,1.8758,27.6469,1.3838,1.2597
2022-03-31,0.349,0.5916,33.3697,25.8452,0.0087,2.7352,3.51,0.2336,1.594,29.4166,2.423,2.2866
2021-12-31,0.3474,0.589,40.668,30.8448,0.0096,3.2995,4.038,0.314,1.9482,32.5289,1.8731,1.7667
2021-09-30,0.3364,0.5628,43.2995,33.0431,0.01,3.4496,4.1662,0.3389,2.0741,32.6534,1.7576,1.6794
2021-06-30,0.3504,0.6033,44.1376,32.655,0.01,3.407,3.9984,0.3452,2.0091,32.5774,0.6772,0.5556
2021-03-31,0.3949,0.7148,42.0877,32.1258,0.0101,3.3888,3.9828,0.3354,1.8587,31.7526,-0.5059,-0.5681
2020-12-31,0.3932,0.7124,37.6702,28.6939,0.0097,2.8816,3.3503,0.2956,1.5886,32.4247,-2.2874,-2.3495
2020-09-30,0.3972,0.722,39.119,29.4704,0.0094,2.7886,3.2507,0.2876,1.526,32.2197,0.0826,-0.1104
2020-06-30,0.4223,0.8003,17.8755,11.9414,0.0067,0.9482,1.1319,0.0961,0.5044,31.3605,2.1192,2.0129
2020-03-31,0.4267,1.0263,4.7619,2.3016,0.0068,0.2288,0.2747,0.0248,0.1206,30.7505,0.6011,0.5109
2019-12-31,0.4138,0.766,44.7406,33.4127,0.0124,3.7822,4.6646,0.434,2.0319,29.909,1.9286,1.8623
2019-09-30,0.4034,0.9062,37.2836,28.6797,0.0108,2.7962,3.4306,0.3209,1.5302,29.7864,-0.4761,-0.5478
2019-06-30,0.433,0.8185,31.7033,23.4615,0.0108,2.3423,2.9935,0.2684,1.2426,28.2594,0.2844,0.2132
2019-03-31,0.4383,0.9797,47.5872,36.3115,0.0125,4.1862,5.4716,0.4617,2.1938,26.8378,0.7962,0.7082
2018-12-31,0.4703,1.0415,37.5,27.6923,0.0107,3.0431,3.5485,0.3108,1.48,25.1303,1.3292,1.3125
2018-09-30,0.4771,1.1287,36.1367,27.661,0.0107,3.003,3.5304,0.3077,1.4385,23.9653,0.98,0.9892
2018-06-30,0.4684,1.0264,42.7673,33.1046,0.0124,4.0346,4.7028,0.4279,1.9691,23.9648,1.4808,1.42
2018-03-31,0.4774,1.0067,46.6173,36.2579,0.0134,4.7132,5.4826,0.4954,2.261,23.6575,0.3764,0.3323
2017-12-31,0.4789,1.1769,40.9836,32.5137,0.0103,3.3179,3.8324,0.3477,1.5872,23.3783,0.3234,0.2511
2017-09-30,0.4615,1.2115,60.4302,40.5438,0.0173,6.738,7.7458,0.7128,3.3334,23.2185,0.8213,0.8166
2017-06-30,0.45,1.153,34.0455,23.4321,0.0103,2.4281,2.7896,0.2602,1.2273,22.2583,0.1568,0.0443
2017-03-31,0.4535,0.9618,28.6541,20.9841,0.0099,2.0164,2.3017,0.2175,1.0128,21.9384,0.6966,0.6283
2016-12-31,0.4699,1.1123,44.3537,24.3537,0.0103,2.53,2.886,0.2652,1.2312,21.6289,1.1517,1.1306
2016-09-30,0.5013,1.2205,41.6317,30.054,0.0116,3.3348,3.7503,0.3601,1.5314,22.2398,0.6655,0.5872
2016-06-30,0.4921,1.2127,30.2837,21.6312,0.0098,2.1008,2.3638,0.2256,0.9823,21.8622,0.41,0.3063
2016-03-31,0.4834,1.1594,30.6123,21.6749,0.01,2.1699,2.4617,0.2289,1.0297,21.2273,0.5079,0.4102
