Date,current-ratio-annual,debt-equity-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,inventory-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,1.2755,,23.8819,13.4389,13.4389,16.7607,13.6836,10.4127,1.2464,184.2697,55.844,6.5361,37.9684,38.3235,12.9787,37.9684,85.7141,2.184,0.4868
2021-12-31,1.5813,,22.6182,10.6656,10.6656,14.0399,10.7693,8.6522,1.1344,177.9093,38.9701,9.3662,28.4231,28.6971,9.8149,28.4231,81.8153,21.6063,19.3671
2020-12-31,1.7274,,17.3959,4.8485,4.8485,8.8343,4.9089,5.9447,1.0003,186.9372,15.4529,23.6202,17.611,17.8044,5.9464,17.611,72.1451,-2.1422,-3.9736
2019-12-31,1.6085,,20.4514,7.9472,7.9472,11.756,8.2036,6.2681,1.0944,170.2897,51.6062,7.0728,20.8053,21.0801,6.8597,20.8053,60.6387,3.2754,2.2459
2018-12-31,1.8107,,18.7255,5.3108,5.3108,9.4625,5.5177,3.6291,2.1474,183.4374,78.0746,4.675,12.2492,12.4386,7.7931,12.2492,52.0395,5.835,3.147
2017-12-31,1.9437,,16.8934,6.0494,6.0494,9.6984,6.1599,3.9374,2.1882,187.321,89.877,4.0611,12.9176,13.1287,8.6158,12.9176,48.685,4.4634,5.5682
2016-12-31,1.8538,,12.7604,0.8853,0.8853,4.6342,0.9922,0.5875,1.927,226.7907,85.6995,4.2591,1.6355,1.6615,1.1321,1.6355,48.674,-9.7666,-10.2878
2015-12-31,2.9101,,26.0882,16.964,16.964,19.8603,17.1035,10.5661,1.6518,221.1617,46.6762,7.8198,22.35,22.5828,17.4529,22.35,69.1709,0.052,-0.1058
2014-12-31,3.4981,,27.2075,17.3017,17.3017,19.9908,17.387,10.8409,1.6255,195.0504,80.0411,4.5602,22.1318,22.3758,17.6224,22.1318,64.8586,4.7405,3.1161
2013-12-31,3.3444,,26.5903,16.572,16.572,19.56,16.6264,10.186,1.5999,180.9124,116.1634,3.1421,21.2859,21.5938,16.2963,21.2859,49.5694,3.6907,3.4989
2012-12-31,2.9253,,27.1065,16.6909,16.6909,19.7712,16.7575,10.1786,1.6368,179.4236,103.4085,3.5297,22.3127,22.7127,16.66,22.3127,40.071,0.2758,-1.1669
2011-12-31,3.1831,0.0001,25.9623,15.4463,15.4463,18.7482,15.4086,9.4708,1.5923,188.5247,270.5386,1.3492,20.5841,21.0259,15.0806,20.5841,33.4131,3.825,2.6357
2010-12-31,3.3012,0.0001,26.6572,15.6777,15.6777,19.4318,15.7447,9.7488,1.6369,189.7037,62.9042,5.8025,22.0726,22.6864,15.9576,22.0726,26.0949,0.9926,1.0759
2009-12-31,2.9118,0.0001,24.9285,13.4156,13.4156,17.4532,13.4499,8.3538,1.5792,203.0456,318.7943,1.1449,18.0316,18.612,13.1923,18.0316,22.3442,8.1201,4.4693
