Date,current-ratio-annual,gross-margin-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,receiveable-turnover-annual,days-sales-in-receivables-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,2.1996,26.3272,10.6868,10.6868,11.0227,10.7543,7.9514,3.0537,8.0997,45.0634,43.6997,43.8112,24.3381,43.6997,20.1768,7.8806,7.5643
2021-12-31,1.7806,27.0243,11.5552,11.5552,11.8658,11.6477,8.5665,2.1713,4.3366,84.1682,40.5617,40.6538,18.6447,40.5617,20.9198,1.2389,1.3054
2020-12-31,2.0937,30.5464,9.8122,9.8122,10.4065,9.9804,7.2633,1.9451,4.7969,76.0914,26.2168,26.2951,14.1697,26.2168,15.7314,-0.5971,-0.6054
2019-12-31,2.3709,33.1948,9.6531,9.6531,10.2946,10.0195,7.4334,2.1513,6.0394,60.436,26.9439,27.0414,16.0356,26.9439,12.9536,1.2087,1.2057
2018-12-31,2.0612,32.1978,9.7878,9.7878,10.4515,10.0552,7.5961,2.4553,5.1459,70.9305,31.181,31.3058,18.699,31.181,11.5847,0.5312,0.3227
2017-12-31,2.325,33.5097,10.118,10.118,10.8305,10.3829,7.0705,2.2204,4.892,74.6112,24.5883,24.6865,15.7325,24.5883,11.3076,-0.2082,0.0568
2016-12-31,2.3857,35.4874,10.9898,10.9898,11.7572,11.2636,7.0647,2.185,5.1238,71.2356,23.4154,23.5164,15.4981,23.4154,10.2705,-0.0804,-0.1718
2015-12-31,2.2946,33.0648,10.9041,10.9041,11.5995,11.1339,6.9102,2.579,5.9488,61.3567,27.1142,27.2416,17.9101,27.1142,9.308,0.9711,0.9296
2014-12-31,2.327,30.183,9.0582,9.0582,9.8091,9.3056,5.7411,2.2708,5.3111,68.7242,20.2745,20.3608,13.126,20.2745,9.7655,0.0375,0.1052
2013-12-31,2.7755,30.9667,9.0798,9.0798,9.8704,9.4173,5.7321,2.0168,5.664,64.4426,16.7764,16.8404,11.6097,16.7764,10.3002,0.2234,0.1899
2012-12-31,2.7981,30.6292,8.8581,8.8581,9.5247,9.1851,5.5632,2.0284,5.8099,62.8236,16.3817,16.4458,11.2713,16.3817,9.8481,-0.3795,-0.2409
2011-12-31,2.8724,30.9585,10.0353,10.0353,10.6321,10.355,6.2595,2.1493,6.5916,55.3733,19.2154,19.2915,13.4728,19.2154,9.4813,0.2986,0.1312
2010-12-31,2.4831,28.3664,9.1701,9.1701,9.7884,9.4522,5.7674,2.2274,5.9445,61.4015,19.6896,19.8216,12.8474,19.6896,8.2441,0.2996,0.2627
2009-12-31,2.5238,33.7901,9.408,9.408,10.4234,9.8447,5.87,1.7611,5.0499,72.2787,15.3968,15.5247,10.3453,15.3968,7.364,1.5277,1.3687
