Date,long-term-debt-capital-annual,debt-equity-ratio-annual,operating-margin-annual,ebit-margin-annual,ebitda-margin-annual,pre-tax-profit-margin-annual,net-profit-margin-annual,asset-turnover-annual,roe-annual,return-on-tangible-equity-annual,roa-annual,roi-annual,book-value-per-share-annual,operating-cash-flow-per-share-annual,free-cash-flow-per-share-annual
2022-12-31,0.2495,0.4242,19.1126,19.1126,31.0861,17.3792,14.1844,0.2042,15.1088,16.7579,2.8966,11.3385,50.6084,0.4327,0.5212
2021-12-31,0.1518,0.2344,19.4778,19.4778,31.288,17.845,14.5703,0.1718,8.6194,9.1283,2.5025,7.3112,86.8039,0.1656,0.1843
2020-12-31,0.1598,0.2192,20.7557,20.7557,32.9081,18.9257,15.445,0.1631,8.343,8.7853,2.5193,7.01,84.5024,1.5244,1.5139
2019-12-31,0.1561,0.2259,22.4313,22.4313,34.6173,20.5692,16.8036,0.1743,10.4312,11.1034,2.929,8.8031,67.7154,1.1591,1.1715
2018-12-31,0.2004,0.3075,22.1608,22.1608,34.1664,20.0679,16.2989,0.1863,12.9545,14.1047,3.0374,10.3584,48.9207,-0.9246,-1.1454
2017-12-31,0.1538,0.2343,22.023,22.023,33.8241,19.9888,35.0011,0.177,23.4018,25.1866,6.212,19.8036,54.3787,0.5803,0.6154
2016-12-31,0.1988,0.306,21.7449,21.7449,33.6663,19.6266,13.9728,0.1836,11.8153,13.0801,2.5172,9.4664,38.6921,2.5941,2.6801
2015-12-31,0.155,0.3042,22.3796,22.3796,34.2122,20.3445,13.996,0.1897,12.7305,14.2861,2.6006,10.7577,33.1417,2.317,2.1054
2014-12-31,0.1744,0.262,23.7785,23.7785,35.2675,21.6756,14.9979,0.1786,11.2417,12.4081,2.6049,9.2814,36.719,-1.5006,-1.5047
2013-12-31,0.2079,0.323,23.9186,23.9186,35.3908,21.6159,15.124,0.1921,13.4311,15.2097,2.7881,10.6395,28.1288,1.5993,1.5548
2012-12-31,0.1849,0.3,23.5827,23.5827,34.313,21.3397,14.7464,0.1912,12.1355,13.5025,2.819,9.8912,30.8572,1.2029,1.1854
2011-12-31,0.17,0.2631,23.7369,23.7369,34.5317,21.4302,14.7202,0.2036,12.8928,14.3706,2.9998,10.701,25.5828,-0.3519,-0.3165
2010-12-31,0.1643,0.2461,24.5306,24.5306,35.725,22.2878,14.8136,0.2084,12.5514,13.9278,3.1194,10.4891,22.5255,0.3448,0.3302
2009-12-31,0.1898,0.3029,20.7702,20.7702,34.5501,18.5253,12.9998,0.1944,11.3582,12.8598,2.4092,9.2028,18.2352,5.2247,5.19
