,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-11-30,103.1,52.2,48.5,100.7,-64.7,-188.6,116.3,7.2,-107.9,95.9,-149.1,0,0,0,5,-144.1,0.8,0,0.8,-0.5,-0.5,-35.3,1.9,-33.1,-65.9,10,-35.3
2022-08-31,231.90000,49.80000,-135.30000,-85.50000,9.90000,-51.50000,24.30000,45.50000,45.70000,192.10000,-121.20000,-42.30000,,,-3.40000,-166.90000,5.80000,,5.80000,-34.40000,-34.40000,-35.30000,0.40000,-63.50000,-39.70000,7.60000,-35.30000
2022-05-31,32,49.7,58.1,107.8,-12.2,58.2,20.3,8.8,104.3,244.1,-79.4,0,0,0,-4.9,-84.3,-1.1,0,-1.1,-24.7,-24.7,-35.4,0,-61.2,96.4,5.8,-35.4
2022-02-28,106.6,47.5,-11.6,35.9,-6.4,-19.9,-98.5,-74.1,-176,-33.5,-78.9,0,0,0,0.3,-78.6,5.7999,0,5.7999,-50.2,-50.2,-34.3,-4.2,-82.9,-193.3,5.9,-34.3
2021-11-30,32.5,47.6,52.6,100.2,-22.6,-144.7,84.7,25.5,-87,45.7,-69.2,0,0,0,0.4,-68.8,-58.3999,0,-58.3999,-50.1,-50.1,-34.3,-0.7,-143.5,-167.8,4.4,-34.3
2021-08-31,29.80000,47.30000,11.90000,59.20000,-35.10000,43.40000,10.00000,33.00000,72.80000,161.80000,-78.90000,,,,0.10000,-78.80000,-7.90000,,-7.90000,-33.40000,-33.40000,-34.40000,-0.10000,-75.80000,6.20000,5.20000,-34.40000
2021-05-31,65.5,45.5,4,49.5,9.4,58.6,43.8,1.6,63.4,178.4,-56.6,0,0,0,0.3,-56.3,-7.9,0,-7.9,-13.2,-13.2,-34.4,1.4,-54.1,69.2,3,-34.4
2021-02-28,66.1,47.6,-6.8,40.8,-21.9,59.7,-77.6,-58.3,-50.9,56,-53,0,0,0,0.1,-52.9,-8,0,-8,-13.1,-13.1,-33.7,2.1,-52.7,-49.6,6.3,-33.7
2020-11-30,96.9,47.8,-3.6,44.2,-17.6,-158.3,119.8,13.8,-72.9,68.2,-20.5,0,0,0,0.3,-20.2,-280.4,-0.7,-281.1,-0.2,-0.2,-33.6,-2.1,-317,-268.6,5.3,-33.6
2020-08-31,89.30000,46.90000,9.50000,56.40000,9.10000,18.00000,18.70000,38.00000,104.90000,250.60000,-33.20000,,,,0.10000,-33.10000,-9.20000,-498.10000,-507.30000,-9.60000,-9.60000,-33.60000,0.30000,-550.20000,-331.50000,6.00000,-33.60000
2020-05-31,-1.6,44.8,21.5,66.3,25.4,109.9,-37,-3.8,73.6,138.3,-56.4,0,0,0,0.2,-56.2,814.4,477.8,1292.2,0,0,-33.6,-5.9,1252.7,1333.9,4.6,-33.6
2020-02-29,111.4,45.8,14,59.8,30.9,38.8,-124.3,-44.5,-80.8,90.4,-44.6,0,-5.5,-5.5,0.5,-49.6,-327.1,329.4,2.3,-11.1,-11.1,-29.2,3.9,-34.1,6.3,5.6,-29.2
2019-11-30,140.4,45.7,3.4,49.1,-28.2,-169,118.7,3,-82.7,106.8,-57.1,0.2,-17.1,-17.1,10.5,-63.5,309,-308.4,0.6,-10.4,-10.4,-29.3,0.4,-38.7,4.8,7.2,-29.3
2019-08-31,115.70000,46.00000,20.80000,66.80000,-27.00000,35.60000,7.70000,43.30000,56.00000,238.50000,-50.30000,-116.90000,,,-9.50000,-176.70000,-9.70000,-8.30000,-18.00000,-7.40000,-7.40000,-29.20000,-0.30000,-54.90000,6.80000,5.40000,-29.20000
2019-05-31,110.4,44.9,8.4,53.3,18.2,88.9,-18.7,5.1,72.8,236.5,-89.6,0,0,0,0.5,-89.1,-9.6,-90.3,-99.9,-24.1,-24.1,-29.3,1,-152.3,-5,5.1,-29.3
