,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-11-30,-3816.00000,495.00000,-2539.00000,-2044.00000,151.00000,-918.00000,867.00000,-126.00000,6352.00000,493.00000,-201.00000,1988.00000,,,,70.00000,1858.00000,6.00000,22.00000,28.00000,-144.00000,-144.00000,-415.00000,-69.00000,-599.00000,1756.00000,222.00000,-415.00000
2022-08-31,-501,488,569,1057,83,77,-523,-197,-469,86,6,-149,0,0,0,341,198,-996,-1,-997,14,14,-408,-861,-2252,-1982,125,-408
2022-05-31,229,478,-812,-334,230,293,721,446,1732,1629,-37,-122,0,0,0,1077,919,1997,-1299,698,-19,-19,-418,-276,-16,2514,96,-418
2022-02-28,806,524,-33,491,622,549,-1289,-90,-210,1085,-143,-118,0,0,0,37,-223,-899,352,-547,-20,-20,-420,-2123,-3108,-2242,135,-420
2021-11-30,3531.00000,500.00000,-2375.00000,-1875.00000,-127.00000,-1352.00000,1335.00000,-94.00000,-558.00000,1099.00000,-252.00000,-1800.00000,,,,95.00000,-1958.00000,3496.00000,937.00000,4433.00000,-135.00000,-135.00000,-413.00000,-7.00000,3877.00000,2998.00000,35.00000,-413.00000
2021-08-31,613,518,167,685,-554,94,-85,-232,-53,1245,-184,5490,0,0,0,107,5413,-4201,-2465,-6666,18,18,-405,-127,-7180,-533,35,-405
2021-05-31,1173,507,-289,218,-341,319,184,-81,362,1754,-99,-80,0,0,0,194,15,1635,1206,2841,20,20,-404,-3667,-1209,492,50,-404
2021-02-28,1025,473,-203,270,-297,977,-655,-131,68,1361,-40,-1237,0,0,0,179,-1097,-468,697,229,17,17,-403,-138,-295,-28,34,-403
2020-11-30,-299.00000,475.00000,967.00000,1442.00000,-259.00000,-1225.00000,1398.00000,110.00000,51.00000,1195.00000,-200.00000,-77.00000,,,,19.00000,-259.00000,503.00000,-347.00000,156.00000,-106.00000,-106.00000,-405.00000,4.00000,-352.00000,594.00000,36.00000,-405.00000
2020-08-31,356,-1521,2185,664,22,290,185,-4,1064,2086,-245,-373,0,0,0,-18,-637,-512,-357,-869,-200,-200,-487,-91,-1649,-197,36,-487
2020-05-31,-1725,2479,-5,2474,465,15,-765,20,167,914,-33,-59,0,0,0,49,-43,-930,851,-79,-449,-449,-403,16,-913,-45,34,-403
2020-02-29,951,492,22,514,-208,857,-369,-59,-42,1423,-132,-106,0,0,0,22,-215,25,-263,-238,-426,-426,-447,-106,-1219,-12,39,-447
2019-11-30,842.00000,477.00000,-10.00000,467.00000,-116.00000,-1099.00000,924.00000,-4.00000,-248.00000,1061.00000,-240.00000,-180.00000,,,,18.00000,-402.00000,370.00000,-392.00000,-22.00000,-459.00000,-459.00000,-410.00000,24.00000,-866.00000,-206.00000,28.00000,-410.00000
2019-08-31,687,526,220,746,-59,495,292,-15,947,2379,-453,-274,0,0,0,-13,-738,-987,237,-750,-416,-416,-399,92,-1474,170,32,-399
2019-05-31,1037,522,-120,402,434,203,-20,-86,581,2020,-453,-120,0,0,0,51,-523,-338,-37,-375,-595,-595,-403,-84,-1458,28,24,-403
2019-02-28,1138,500,140,640,-649,867,-415,-28,-1042,735,-323,-147,0,0,0,60,-411,2757,-731,2026,-2164,-2164,-419,51,-505,-174,36,-419
2018-11-30,1100.00000,490.00000,94.00000,584.00000,-515.00000,-1424.00000,1097.00000,-137.00000,-1226.00000,460.00000,-470.00000,-200.00000,,,,35.00000,-635.00000,540.00000,1067.00000,1607.00000,-811.00000,-811.00000,-422.00000,16.00000,390.00000,208.00000,27.00000,-422.00000
2018-08-31,1514,470,-268,202,371,101,677,-219,1102,2817,-384,-573,0,0,0,567,-390,-526,-10,-536,-2647,-2647,-448,119,-3512,-1100,39,-448
2018-05-31,1346,442,232,674,-125,544,76,4,217,2238,-317,-845,0,0,0,207,-955,-274,-240,-514,35,35,-476,-212,-1167,86,28,-476
2018-02-28,1349,442,-654,-212,-275,704,-444,23,1069,2205,-288,-3110,0,0,0,-159,-3557,1792,-190,1602,51,51,-402,-10,1241,-84,38,-402
