,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,388,380,-249,131,131,-134,106,103,622,-239,16,-595,407,-188,-157,-568,-272,-272,-118,-118,-26,0,-416,-354,-26
2022-09-30,143,0,274,274,187,330,312,829,1246,-109,-79,-171,-633,-804,-1,-993,8,8,-276,-276,-23,-12,-303,-65,-23
2022-06-30,202,0,172,172,-606,337,918,649,1023,-191,0,43,-481,-438,30,-599,2,2,-248,-248,-26,10,-262,153,-26
2022-03-31,370.00000,,333.00000,333.00000,-28.00000,-374.00000,122.00000,-280.00000,423.00000,-121.00000,,696.00000,-798.00000,-102.00000,36.00000,-187.00000,195.00000,195.00000,-153.00000,-153.00000,-84.00000,-14.00000,-56.00000,177.00000,-84.00000
2021-12-31,371,434,-355,79,-294,131,660,497,947,-207,80,-866,156,-710,74,-763,-39,-39,-311,-311,-26,0,-376,-190,-26
2021-09-30,246,0,102,102,-28,328,485,785,1133,-144,0,320,-667,-347,-26,-517,-8,-8,-341,-341,-27,0,-376,233,-27
2021-06-30,793,0,-444,-444,-351,-379,790,60,409,-44,417,-164,-451,-615,29,-213,-33,-33,-219,-219,-27,0,-279,-82,-27
2021-03-31,293.00000,,257.00000,257.00000,-736.00000,-129.00000,449.00000,-416.00000,134.00000,-87.00000,,569.00000,-186.00000,383.00000,10.00000,306.00000,86.00000,86.00000,-283.00000,-283.00000,-49.00000,-12.00000,-258.00000,182.00000,-49.00000
2020-12-31,437,667,-519,148,-152,-90,111,-131,454,-173,7,-279,146,-133,-7,-306,-303,-303,-245,-245,-28,11,-565,-408,-28
2020-09-30,162,0,73,73,301,-141,456,616,851,-108,0,180,-800,-620,-55,-783,359,359,-187,-187,-27,0,145,218,-27
2020-06-30,-846,0,1067,1067,-308,-537,735,-110,111,-196,0,-311,272,-39,-517,-752,446,446,-52,-52,-27,-1,366,-271,-27
2020-03-31,-1044.00000,,1363.00000,1363.00000,-266.00000,197.00000,79.00000,10.00000,329.00000,-233.00000,,837.00000,-146.00000,691.00000,-31.00000,427.00000,431.00000,431.00000,-476.00000,-476.00000,-87.00000,-12.00000,-144.00000,603.00000,-87.00000
2019-12-31,211,854,-520,334,-65,50,-60,-75,470,-295,0,-83,302,219,-111,-187,46,46,-413,-413,-29,-1,-397,-106,-29
2019-09-30,39,0,143,143,258,61,296,615,797,-237,-1,20,-308,-288,-2,-528,-66,-66,-167,-167,-29,0,-262,2,-29
2019-06-30,225,0,235,235,-94,-125,152,-67,393,-146,-256,33,145,178,-32,-256,158,158,-163,-163,-29,-2,-36,101,-29
2019-03-31,396.00000,,369.00000,369.00000,15.00000,-480.00000,-219.00000,-684.00000,81.00000,-223.00000,,-27.00000,611.00000,584.00000,-61.00000,300.00000,-18.00000,-18.00000,-331.00000,-331.00000,-87.00000,-13.00000,-449.00000,-66.00000,-87.00000
2018-12-31,-211,842,-290,552,-149,203,432,486,827,-261,-23,-213,-343,-556,113,-727,-91,-91,-137,-137,-31,-1,-260,-166,-31
2018-09-30,289,0,627,627,525,217,-414,328,1244,-143,-4,978,-283,695,-28,520,-15,-15,-1594,-1594,-30,-8,-1647,118,-30
2018-06-30,248,0,309,309,-360,1198,243,1081,1638,-248,-10,-1079,77,-1002,-33,-1293,-2,-2,-302,-302,-42,9,-337,2,-42
2018-03-31,380.00000,,185.00000,185.00000,-147.00000,84.00000,11.00000,-52.00000,513.00000,-230.00000,,-25.00000,423.00000,398.00000,-112.00000,56.00000,-70.00000,-70.00000,-497.00000,-497.00000,-98.00000,74.00000,-591.00000,-21.00000,-98.00000
2017-12-31,531,834,-833,1,74,170,4,248,780,-364,79,-82,36,-46,-237,-568,97,97,-210,-210,-43,0,-156,56,-43
2017-09-30,212,0,345,345,242,-199,-21,22,579,-260,4,-56,-125,-181,-96,-533,66,66,0,0,-42,-15,9,59,-42
2017-06-30,278,0,296,296,-274,704,228,658,1232,-198,-1222,-395,15,-380,-27,-1827,584,584,-6,-6,-41,-1,536,-55,-41
2017-03-31,391.00000,,318.00000,318.00000,51.00000,-567.00000,-194.00000,-710.00000,-1.00000,-209.00000,,366.00000,129.00000,495.00000,-13.00000,273.00000,-91.00000,-91.00000,,,-97.00000,,-188.00000,85.00000,-97.00000
2016-12-31,412,814,-633,181,189,-60,-185,-56,537,-212,0,54,-217,-163,34,-341,-148,-148,-11,-11,-41,-8,-208,-17,-41
2016-09-30,393,0,287,287,264,80,-79,265,945,-287,0,-44,-374,-418,-24,-729,-147,-147,-29,-29,-41,-1,-218,-4,-41
2016-06-30,-288,0,804,804,-154,-7,267,106,622,-549,-79,132,-606,-474,142,-960,476,476,-53,-53,-40,0,383,40,-40
2016-03-31,199.00000,,585.00000,585.00000,-275.00000,-541.00000,181.00000,-635.00000,149.00000,-72.00000,,16.00000,-107.00000,-91.00000,6.00000,-157.00000,15.00000,15.00000,-41.00000,-41.00000,-96.00000,-1.00000,-123.00000,-132.00000,-96.00000
2015-12-31,-291,992,-372,620,89,475,459,1023,1352,-103,-157,-178,124,-54,-34,-348,-191,-191,-648,-648,-48,0,-887,112,-48
2015-09-30,282,0,567,567,274,189,-204,259,1108,-212,0,179,-469,-290,-51,-553,-84,-84,-335,-335,-51,-2,-472,79,-51
2015-06-30,247,0,293,293,-90,381,214,505,1045,-759,0,-78,-214,-292,-77,-1128,297,297,-190,-190,-51,1,57,-22,-51
2015-03-31,49.00000,,510.00000,510.00000,-153.00000,-371.00000,7.00000,-517.00000,42.00000,-448.00000,,197.00000,355.00000,552.00000,-10.00000,94.00000,-123.00000,-123.00000,,,-105.00000,5.00000,-223.00000,-93.00000,-105.00000
2014-12-31,294,902,-650,252,167,18,163,348,894,-977,-448,907,69,976,-56,-505,-274,-274,-285,-285,-100,2,-657,-273,-100
2014-09-30,269,0,379,379,713,-30,-427,256,904,377,0,486,-621,-135,-48,194,-426,-426,-214,-214,-101,-3,-744,360,-101
2014-06-30,215,0,366,366,-180,108,260,188,769,-375,0,225,-366,-141,-6,-522,-26,-26,-162,-162,-102,16,-274,-23,-102
2014-03-31,184.00000,,746.00000,746.00000,38.00000,-225.00000,-320.00000,-507.00000,423.00000,-747.00000,,-222.00000,330.00000,108.00000,2.00000,-637.00000,461.00000,461.00000,-99.00000,-99.00000,-130.00000,1.00000,233.00000,6.00000,-130.00000
2013-12-31,-125,1483,-951,532,-59,-3,422,360,767,-565,182,-712,-216,-928,-122,-1433,866,866,1,1,-153,-11,703,37,-153
2013-09-30,384,0,312,312,326,-19,-177,130,826,-46,-235,-5,-234,-239,-52,-572,39,39,-47,-47,-152,-6,-166,93,-152
2013-06-30,412,0,278,278,-112,-887,204,-795,-105,-529,0,241,-311,-70,-61,-660,632,632,285,285,-146,-20,751,-15,-146
2013-03-31,398.00000,,335.00000,335.00000,-68.00000,8.00000,-65.00000,-125.00000,608.00000,-597.00000,,375.00000,-389.00000,-14.00000,-22.00000,-633.00000,224.00000,224.00000,-92.00000,-92.00000,-146.00000,-3.00000,-17.00000,-49.00000,-146.00000
2012-12-31,83,855,-557,298,-195,16,550,371,752,-350,-620,445,-634,-189,-34,-1193,422,422,223,223,-145,-1,499,59,-145
2012-09-30,310,0,437,437,265,55,-71,249,996,-116,-367,-521,278,-243,-18,-744,-309,-309,227,227,-138,-2,-222,33,-138
2012-06-30,198,0,403,403,115,17,45,177,778,-521,0,-28,-42,-70,-54,-645,90,90,-50,-50,-133,-2,-95,37,-133
